[12:06:42 AM]  Login : [Beri] 1.986.682.441 [Ruby] 919.341.620
[12:06:52 AM]  Đục lỗ Quần xanh hoang dã 2 -50 ruby
[12:06:52 AM]  Đục lỗ Quần xanh hoang dã 2 -50 ruby
[12:06:55 AM]  Đục lỗ Quần xanh hoang dã 2 -50 ruby
[12:06:55 AM]  Đục lỗ Quần xanh hoang dã 2 -50 ruby
[12:06:57 AM]  Đục lỗ Quần xanh hoang dã 2 -100 ruby
[12:06:57 AM]  Đục lỗ Quần xanh hoang dã 2 -100 ruby
[12:06:57 AM]  Đục lỗ Quần xanh hoang dã 2 -100 ruby
[12:07:01 AM]  Đục lỗ Quần xanh hoang dã 2 -100 ruby
[12:07:01 AM]  Đục lỗ Quần xanh hoang dã 2 -100 ruby
[12:07:04 AM]  Đục lỗ Quần xanh hoang dã 2 -100 ruby
[12:07:04 AM]  Đục lỗ Quần xanh hoang dã 2 -100 ruby
[12:07:06 AM]  Đục lỗ Quần xanh hoang dã 2 -100 ruby
[12:07:06 AM]  Đục lỗ Quần xanh hoang dã 2 -100 ruby
[12:07:07 AM]  Đục lỗ Quần xanh hoang dã 2 -100 ruby
[12:07:09 AM]  Đục lỗ Quần xanh hoang dã 2 -150 ruby
[12:07:09 AM]  Đục lỗ Quần xanh hoang dã 2 -150 ruby
[12:07:09 AM]  Đục lỗ Quần xanh hoang dã 2 -200 ruby
[12:07:11 AM]  Đục lỗ Quần xanh hoang dã 2 -200 ruby
[12:07:11 AM]  Đục lỗ Quần xanh hoang dã 2 -200 ruby
[12:07:13 AM]  Đục lỗ Quần xanh hoang dã 2 -200 ruby
[12:07:13 AM]  Đục lỗ Quần xanh hoang dã 2 -200 ruby
[12:07:16 AM]  Đục lỗ Quần xanh hoang dã 2 -250 ruby
[12:07:16 AM]  Đục lỗ Quần xanh hoang dã 2 -250 ruby
[12:07:19 AM]  Đục lỗ Nhẫn 1 Lv60 2 -50 ruby
[12:07:19 AM]  Đục lỗ Nhẫn 1 Lv60 2 -50 ruby
[12:07:22 AM]  Đục lỗ Nhẫn 1 Lv60 2 -100 ruby
[12:07:22 AM]  Đục lỗ Nhẫn 1 Lv60 2 -100 ruby
[12:07:22 AM]  Đục lỗ Nhẫn 1 Lv60 2 -100 ruby
[12:07:25 AM]  Đục lỗ Nhẫn 1 Lv60 2 -150 ruby
[12:07:25 AM]  Đục lỗ Nhẫn 1 Lv60 2 -150 ruby
[12:07:27 AM]  Đục lỗ Nhẫn 1 Lv60 2 -150 ruby
[12:07:27 AM]  Đục lỗ Nhẫn 1 Lv60 2 -200 ruby
[12:07:30 AM]  Đục lỗ Nhẫn 1 Lv60 2 -200 ruby
[12:07:30 AM]  Đục lỗ Nhẫn 1 Lv60 2 -200 ruby
[12:07:33 AM]  Đục lỗ Nhẫn 1 Lv60 2 -200 ruby
[12:07:33 AM]  Đục lỗ Nhẫn 1 Lv60 2 -250 ruby
[12:07:33 AM]  Đục lỗ Nhẫn 1 Lv60 2 -250 ruby
[12:07:37 AM]  Đục lỗ Dây chuyền 2 Lv60 -150 ruby
[12:07:37 AM]  Đục lỗ Dây chuyền 2 Lv60 -150 ruby
[12:07:37 AM]  Đục lỗ Dây chuyền 2 Lv60 -150 ruby
[12:07:37 AM]  Đục lỗ Dây chuyền 2 Lv60 -150 ruby
[12:07:40 AM]  Đục lỗ Dây chuyền 2 Lv60 -200 ruby
[12:07:40 AM]  Đục lỗ Dây chuyền 2 Lv60 -200 ruby
[12:07:43 AM]  Đục lỗ Dây chuyền 2 Lv60 -200 ruby
[12:07:44 AM]  Đục lỗ Dây chuyền 2 Lv60 -200 ruby
[12:07:44 AM]  Đục lỗ Dây chuyền 2 Lv60 -200 ruby
[12:07:47 AM]  Đục lỗ Dây chuyền 2 Lv60 -200 ruby
[12:07:50 AM]  Đục lỗ Dây chuyền 2 Lv60 -200 ruby
[12:07:50 AM]  Đục lỗ Dây chuyền 2 Lv60 -250 ruby
