[01:31:23 AM]  Login : [Beri] 1.997.067.461 [Ruby] 1.000.477.500
[01:32:38 AM]  Giao dịch bery với doraemon nhận +0 beri
[01:32:38 AM]  Giao dịch bery với doraemon nhận Dial 4
[01:32:38 AM]  Giao dịch bery với doraemon nhận Quả Tim
[01:33:09 AM]  Mua Bột cường hóa -20 ruby
[01:33:09 AM]  Mua Bột cường hóa -20 ruby
[01:33:09 AM]  Mua Bột cường hóa -20 ruby
[01:33:09 AM]  Mua Bột cường hóa -20 ruby
[01:33:09 AM]  Mua Bột cường hóa -20 ruby
[01:33:10 AM]  Mua Bột cường hóa -20 ruby
[01:33:10 AM]  Mua Bột cường hóa -20 ruby
[01:33:10 AM]  Mua Bột cường hóa -20 ruby
[01:33:10 AM]  Mua Bột cường hóa -20 ruby
[01:33:10 AM]  Mua Bột cường hóa -20 ruby
[01:33:10 AM]  Mua Bột cường hóa -20 ruby
[01:33:10 AM]  Mua Bột cường hóa -20 ruby
[01:33:10 AM]  Mua Bột cường hóa -20 ruby
[01:33:10 AM]  Mua Bột cường hóa -20 ruby
[01:33:10 AM]  Mua Bột cường hóa -20 ruby
[01:33:10 AM]  Mua Bột cường hóa -20 ruby
[01:33:10 AM]  Mua Bột cường hóa -20 ruby
[01:33:10 AM]  Mua Bột cường hóa -20 ruby
[01:33:11 AM]  Mua Bột cường hóa -20 ruby
[01:33:11 AM]  Mua Bột cường hóa -20 ruby
[01:33:11 AM]  Mua Bột cường hóa -20 ruby
[01:33:11 AM]  Mua Bột cường hóa -20 ruby
[01:33:11 AM]  Mua Bột cường hóa -20 ruby
[01:33:11 AM]  Mua Bột cường hóa -20 ruby
[01:33:11 AM]  Mua Bột cường hóa -20 ruby
[01:33:11 AM]  Mua Bột cường hóa -20 ruby
[01:33:11 AM]  Mua Bột cường hóa -20 ruby
[01:33:11 AM]  Mua Bột cường hóa -20 ruby
[01:33:11 AM]  Mua Bột cường hóa -20 ruby
[01:33:11 AM]  Mua Bột cường hóa -20 ruby
[01:33:12 AM]  Mua Bột cường hóa -20 ruby
[01:33:12 AM]  Mua Bột cường hóa -20 ruby
[01:33:12 AM]  Mua Bột cường hóa -20 ruby
[01:33:12 AM]  Mua Bột cường hóa -20 ruby
[01:33:12 AM]  Mua Bột cường hóa -20 ruby
[01:33:12 AM]  Mua Bột cường hóa -20 ruby
[01:33:12 AM]  Mua Bột cường hóa -20 ruby
[01:33:12 AM]  Mua Bột cường hóa -20 ruby
[01:33:12 AM]  Mua Bột cường hóa -20 ruby
[01:33:12 AM]  Mua Bột cường hóa -20 ruby
[01:33:12 AM]  Mua Bột cường hóa -20 ruby
[01:33:12 AM]  Mua Bột cường hóa -20 ruby
[01:33:13 AM]  Mua Bột cường hóa -20 ruby
[01:33:13 AM]  Mua Bột cường hóa -20 ruby
[01:33:13 AM]  Mua Bột cường hóa -20 ruby
[01:33:13 AM]  Mua Bột cường hóa -20 ruby
[01:33:13 AM]  Mua Bột cường hóa -20 ruby
[01:33:13 AM]  Mua Bột cường hóa -20 ruby
[01:33:13 AM]  Mua Bột cường hóa -20 ruby
[01:33:13 AM]  Mua Bột cường hóa -20 ruby
[01:33:13 AM]  Mua Bột cường hóa -20 ruby
