[12:00:06 AM]  Nhặt +7371 beri
[12:00:09 AM]  Nhặt +12393 beri
[12:03:30 AM]  Nhặt +810 beri
[12:03:38 AM]  Nhặt +15390 beri
[12:03:56 AM]  Nhặt +8505 beri
[12:03:59 AM]  Nhặt +4050 beri
[12:04:22 AM]  Nhặt +7128 beri
[12:04:25 AM]  Nhặt +8100 beri
[12:04:42 AM]  Nhặt +729 beri
[12:04:53 AM]  Nhặt +6237 beri
[12:05:11 AM]  Nhặt +4860 beri
[12:05:20 AM]  Nhặt +14742 beri
[12:05:35 AM]  Nhặt +13689 beri
[12:05:51 AM]  Nhặt +6966 beri
[12:05:59 AM]  Nhặt +2754 beri
[12:06:04 AM]  Nhặt +9558 beri
[12:06:06 AM]  Nhặt +1944 beri
[12:06:08 AM]  Nhặt +2511 beri
[12:06:13 AM]  Nhặt +8262 beri
[12:06:23 AM]  Nhặt +10044 beri
[12:06:31 AM]  Nhặt +8343 beri
[12:06:46 AM]  Nhặt +5913 beri
[12:06:47 AM]  Nhặt +9477 beri
[12:06:50 AM]  Nhặt +6804 beri
[12:06:51 AM]  Nhặt +11745 beri
[12:06:53 AM]  Nhặt +1863 beri
[12:07:00 AM]  Nhặt +3969 beri
[12:07:08 AM]  Nhặt +8505 beri
[12:07:10 AM]  Nhặt +3564 beri
[12:07:23 AM]  Nhặt +7128 beri
[12:08:39 AM]  Nhặt +3465 beri
[12:08:45 AM]  Nhặt +18612 beri
[12:08:55 AM]  Nhặt +8514 beri
[12:09:02 AM]  Nhặt +7425 beri
[12:09:05 AM]  Nhặt +19008 beri
[12:09:10 AM]  Nhặt +17919 beri
[12:09:25 AM]  Nhặt +8613 beri
[12:09:27 AM]  Nhặt +3168 beri
[12:09:31 AM]  Nhặt +7227 beri
[12:09:43 AM]  Nhặt +6732 beri
[12:09:45 AM]  Nhặt +297 beri
[12:10:12 AM]  Nhặt +9504 beri
[12:10:19 AM]  Nhặt +12177 beri
[12:10:31 AM]  Nhặt +13365 beri
[12:10:34 AM]  Nhặt +3762 beri
[12:10:48 AM]  Nhặt +5148 beri
[12:11:08 AM]  Nhặt +4950 beri
[12:11:14 AM]  Nhặt +13662 beri
[12:11:17 AM]  Nhặt +17127 beri
[12:11:28 AM]  Nhặt +15048 beri
[12:11:40 AM]  Nhặt +4752 beri
[12:11:41 AM]  Nhặt +3861 beri
[12:11:50 AM]  Nhặt +4653 beri
[12:11:53 AM]  Nhặt +8811 beri
[12:11:57 AM]  Nhặt +1485 beri
[12:12:07 AM]  Nhặt +1980 beri
[12:12:09 AM]  Nhặt +13662 beri
[12:12:14 AM]  Nhặt +12276 beri
[12:12:33 AM]  Nhặt +7524 beri
[12:12:38 AM]  Nhặt +7326 beri
[12:12:44 AM]  Nhặt +14850 beri
[12:12:49 AM]  Nhặt +1683 beri
[12:12:57 AM]  Nhặt +5643 beri
[12:13:03 AM]  Nhặt +12177 beri
[12:13:10 AM]  Nhặt +2376 beri
[12:13:17 AM]  Nhặt +693 beri
[12:13:21 AM]  Nhặt +9801 beri
[12:13:30 AM]  Nhặt +14751 beri
[12:13:44 AM]  Nhặt +17721 beri
[12:13:46 AM]  Nhặt +7722 beri
[12:13:53 AM]  Nhặt +15840 beri
[12:14:00 AM]  Nhặt +6138 beri
[12:14:05 AM]  Nhặt +10791 beri
[12:14:21 AM]  Nhặt +1386 beri
[12:14:26 AM]  Nhặt +9405 beri
[12:14:33 AM]  Nhặt +8217 beri
[12:14:42 AM]  Nhặt +990 beri
[12:15:05 AM]  Nhặt +14949 beri
[12:15:13 AM]  Nhặt +5742 beri
[12:15:27 AM]  Nhặt +16137 beri
[12:15:32 AM]  Nhặt +693 beri
[12:15:39 AM]  Nhặt +10494 beri
[12:15:42 AM]  Nhặt +16335 beri
[12:15:45 AM]  Nhặt +9207 beri
[12:16:03 AM]  Nhặt +13662 beri
[12:16:06 AM]  Nhặt +18414 beri
[12:16:16 AM]  Nhặt +10989 beri
[12:16:24 AM]  Nhặt +17919 beri
[12:16:56 AM]  Nhặt +14751 beri
[12:16:57 AM]  Nhặt +12672 beri
[12:17:15 AM]  Nhặt +9108 beri
[12:17:17 AM]  Nhặt +9603 beri
[12:17:28 AM]  Nhặt +2178 beri
[12:17:40 AM]  Nhặt +4059 beri
[12:17:42 AM]  Nhặt +9108 beri
[12:17:55 AM]  Nhặt +16236 beri
[12:17:56 AM]  Nhặt +13860 beri
[12:17:58 AM]  Nhặt +16632 beri
[12:18:11 AM]  Nhặt +9702 beri
[12:18:23 AM]  Nhặt +4554 beri
[12:18:25 AM]  Nhặt +18909 beri
[12:18:43 AM]  Nhặt +1485 beri
[12:19:03 AM]  Nhặt +11385 beri
[12:19:04 AM]  Nhặt +10098 beri
[12:19:11 AM]  Nhặt +14454 beri
[12:19:16 AM]  Nhặt +2178 beri
[12:19:35 AM]  Nhặt +14256 beri
[12:19:41 AM]  Nhặt +3861 beri
[12:19:46 AM]  Nhặt +2475 beri
[12:19:48 AM]  Nhặt +19602 beri
[12:19:50 AM]  Nhặt +6831 beri
[12:19:52 AM]  Nhặt +99 beri
[12:20:03 AM]  Nhặt +2376 beri
[12:20:09 AM]  Nhặt +9603 beri
[12:20:11 AM]  Nhặt +2772 beri
[12:20:36 AM]  Nhặt +10890 beri
[12:20:40 AM]  Nhặt +18711 beri
[12:20:49 AM]  Nhặt +12672 beri
[12:20:56 AM]  Nhặt +891 beri
[12:21:05 AM]  Nhặt +16434 beri
[12:21:10 AM]  Nhặt +13959 beri
[12:21:15 AM]  Nhặt +5742 beri
[12:21:21 AM]  Nhặt +18315 beri
[12:21:42 AM]  Nhặt +18810 beri
[12:22:04 AM]  Nhặt +6732 beri
[12:22:06 AM]  Nhặt +1188 beri
[12:22:12 AM]  Nhặt +10593 beri
[12:22:15 AM]  Nhặt +297 beri
[12:22:17 AM]  Nhặt +17127 beri
[12:22:25 AM]  Nhặt +6930 beri
[12:22:31 AM]  Nhặt +12375 beri
