[06:35:32 AM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000
[06:36:41 AM]  Mua Kizaru -500 ruby
[06:37:18 AM]  Mua boa hancock -500 ruby
[06:37:25 AM]  Mua xác ướp trắng -500 ruby
[06:38:12 AM]  Mua Trang phục Doctor Strange -500 ruby
[06:39:02 AM]  Mua Tóc khỉ con -500 ruby
[06:39:17 AM]  Mua Tóc lưỡi liềm -500 ruby
[06:39:26 AM]  Mua Pell -500 ruby
[06:39:43 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:43 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:43 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:43 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:44 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:44 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:44 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:44 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:46 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:46 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:46 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:46 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:46 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:46 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:46 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:46 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:46 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:46 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:46 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:46 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:46 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:46 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:47 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:47 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:47 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:47 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:47 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:47 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:48 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:48 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:48 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:48 AM]  Mua Cơm hộp hải tặc -0 beri
[06:39:48 AM]  Mua Cơm hộp hải tặc -0 beri
