[06:02:53 AM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000
[06:02:55 AM]  Nhặt +85 beri
[06:04:53 AM]  Logout : [Beri] 2.000.000.085 [Ruby] 500.000
[06:05:49 AM]  Login : [Beri] 2.000.000.085 [Ruby] 500.000
[06:05:56 AM]  Logout : [Beri] 2.000.000.085 [Ruby] 500.000
[06:07:02 AM]  Login : [Beri] 2.000.000.085 [Ruby] 500.000
[06:11:57 AM]  Logout : [Beri] 2.000.000.085 [Ruby] 500.000
[06:18:55 AM]  Login : [Beri] 2.000.000.085 [Ruby] 500.000
[06:19:26 AM]  Nhập giftcode Bạn nhận được:
Beri : 2000000000
Ruby : 1000000000
Item : 
[06:19:45 AM]  Nhập giftcode Bạn nhận được:
Beri : 0
Ruby : 0
Item : Thiên thạch may mắn x10, 
[06:19:53 AM]  Nhập giftcode Bạn nhận được:
Beri : 0
Ruby : 0
Item : Quả Tim x1, 
[06:20:22 AM]  Logout : [Beri] 2.000.000.085 [Ruby] 1.000.500.000
[08:00:46 AM]  Login : [Beri] 2.000.000.085 [Ruby] 1.000.500.000
[08:00:49 AM]  Logout : [Beri] 2.000.000.085 [Ruby] 1.000.500.000
[10:04:15 AM]  Login : [Beri] 2.000.000.085 [Ruby] 1.000.500.000
[10:05:25 AM]  Giao dịch bery với devuong nhận +0 beri
[10:05:25 AM]  Giao dịch bery với devuong nhận Khố tím 2
[10:05:25 AM]  Giao dịch bery với devuong nhận Áo vắt vai 2
[10:06:10 AM]  Mua Bột cường hóa -20 ruby
[10:06:10 AM]  Mua Bột cường hóa -20 ruby
[10:06:10 AM]  Mua Bột cường hóa -20 ruby
[10:06:10 AM]  Mua Bột cường hóa -20 ruby
[10:06:10 AM]  Mua Bột cường hóa -20 ruby
[10:06:11 AM]  Mua Bột cường hóa -20 ruby
[10:06:11 AM]  Mua Bột cường hóa -20 ruby
[10:06:11 AM]  Mua Bột cường hóa -20 ruby
[10:06:11 AM]  Mua Bột cường hóa -20 ruby
[10:06:11 AM]  Mua Bột cường hóa -20 ruby
[10:06:12 AM]  Mua Bột cường hóa -20 ruby
[10:06:12 AM]  Mua Bột cường hóa -20 ruby
[10:06:12 AM]  Mua Bột cường hóa -20 ruby
[10:06:12 AM]  Mua Bột cường hóa -20 ruby
[10:06:12 AM]  Mua Bột cường hóa -20 ruby
[10:06:12 AM]  Mua Bột cường hóa -20 ruby
[10:06:13 AM]  Mua Bột cường hóa -20 ruby
[10:06:13 AM]  Mua Bột cường hóa -20 ruby
[10:06:13 AM]  Mua Bột cường hóa -20 ruby
[10:06:13 AM]  Mua Bột cường hóa -20 ruby
[10:06:13 AM]  Mua Bột cường hóa -20 ruby
[10:06:13 AM]  Mua Bột cường hóa -20 ruby
[10:06:14 AM]  Mua Bột cường hóa -20 ruby
[10:06:14 AM]  Mua Bột cường hóa -20 ruby
[10:06:14 AM]  Mua Bột cường hóa -20 ruby
[10:06:14 AM]  Mua Bột cường hóa -20 ruby
[10:06:14 AM]  Mua Bột cường hóa -20 ruby
[10:06:15 AM]  Mua Bột cường hóa -20 ruby
[10:06:15 AM]  Mua Bột cường hóa -20 ruby
[10:06:15 AM]  Mua Bột cường hóa -20 ruby
[10:06:15 AM]  Mua Bột cường hóa -20 ruby
[10:06:15 AM]  Mua Bột cường hóa -20 ruby
[10:06:15 AM]  Mua Bột cường hóa -20 ruby
[10:06:16 AM]  Mua Bột cường hóa -20 ruby
[10:06:16 AM]  Mua Bột cường hóa -20 ruby
[10:06:16 AM]  Mua Bột cường hóa -20 ruby
[10:06:16 AM]  Mua Bột cường hóa -20 ruby
[10:06:16 AM]  Mua Bột cường hóa -20 ruby
[10:06:17 AM]  Mua Bột cường hóa -20 ruby
[10:06:17 AM]  Mua Bột cường hóa -20 ruby
[10:06:17 AM]  Mua Bột cường hóa -20 ruby
[10:06:17 AM]  Mua Bột cường hóa -20 ruby
[10:06:17 AM]  Mua Bột cường hóa -20 ruby
[10:06:17 AM]  Mua Bột cường hóa -20 ruby
[10:06:18 AM]  Mua Bột cường hóa -20 ruby
[10:06:18 AM]  Mua Bột cường hóa -20 ruby
[10:06:18 AM]  Mua Bột cường hóa -20 ruby
[10:06:18 AM]  Mua Bột cường hóa -20 ruby
[10:06:18 AM]  Mua Bột cường hóa -20 ruby
[10:06:18 AM]  Mua Bột cường hóa -20 ruby
[10:06:19 AM]  Mua Bột cường hóa -20 ruby
[10:06:19 AM]  Mua Bột cường hóa -20 ruby
[10:06:19 AM]  Mua Bột cường hóa -20 ruby
[10:06:19 AM]  Mua Bột cường hóa -20 ruby
[10:06:19 AM]  Mua Bột cường hóa -20 ruby
[10:06:20 AM]  Mua Bột cường hóa -20 ruby
[10:06:20 AM]  Mua Bột cường hóa -20 ruby
[10:06:20 AM]  Mua Bột cường hóa -20 ruby
[10:06:21 AM]  Mua Bột vàng -40 ruby
[10:06:22 AM]  Mua Bột vàng -40 ruby
[10:06:22 AM]  Mua Bột vàng -40 ruby
[10:06:22 AM]  Mua Bột vàng -40 ruby
[10:06:22 AM]  Mua Bột vàng -40 ruby
[10:06:22 AM]  Mua Bột vàng -40 ruby
[10:06:23 AM]  Mua Bột vàng -40 ruby
[10:06:23 AM]  Mua Bột vàng -40 ruby
[10:06:23 AM]  Mua Bột vàng -40 ruby
[10:06:23 AM]  Mua Bột vàng -40 ruby
[10:06:23 AM]  Mua Bột vàng -40 ruby
[10:06:23 AM]  Mua Bột vàng -40 ruby
[10:06:24 AM]  Mua Bột vàng -40 ruby
[10:06:24 AM]  Mua Bột vàng -40 ruby
[10:06:24 AM]  Mua Bột vàng -40 ruby
[10:06:24 AM]  Mua Bột vàng -40 ruby
[10:06:24 AM]  Mua Bột vàng -40 ruby
[10:06:24 AM]  Mua Bột vàng -40 ruby
[10:06:25 AM]  Mua Bột vàng -40 ruby
[10:06:25 AM]  Mua Bột vàng -40 ruby
[10:06:25 AM]  Mua Bột vàng -40 ruby
[10:06:25 AM]  Mua Bột vàng -40 ruby
[10:06:25 AM]  Mua Bột vàng -40 ruby
[10:06:26 AM]  Mua Bột vàng -40 ruby
[10:06:26 AM]  Mua Bột vàng -40 ruby
[10:06:26 AM]  Mua Bột vàng -40 ruby
[10:06:26 AM]  Mua Bột vàng -40 ruby
[10:06:26 AM]  Mua Bột vàng -40 ruby
[10:06:27 AM]  Mua Bột vàng -40 ruby
[10:06:27 AM]  Mua Bột vàng -40 ruby
[10:06:27 AM]  Mua Bột vàng -40 ruby
[10:06:27 AM]  Mua Bột vàng -40 ruby
[10:06:27 AM]  Mua Bột vàng -40 ruby
[10:06:28 AM]  Mua Bột vàng -40 ruby
[10:06:28 AM]  Mua Bột vàng -40 ruby
[10:06:28 AM]  Mua Bột vàng -40 ruby
[10:06:28 AM]  Mua Bột vàng -40 ruby
[10:06:28 AM]  Mua Bột vàng -40 ruby
[10:06:29 AM]  Mua Bột vàng -40 ruby
[10:06:29 AM]  Mua Bột vàng -40 ruby
[10:06:29 AM]  Mua Bột vàng -40 ruby
[10:06:30 AM]  Mua Bột vàng -40 ruby
[10:06:30 AM]  Mua Bột vàng -40 ruby
[10:06:30 AM]  Mua Bột vàng -40 ruby
[10:06:30 AM]  Mua Bột vàng -40 ruby
[10:06:30 AM]  Mua Bột vàng -40 ruby
[10:06:31 AM]  Mua Bột vàng -40 ruby
[10:06:31 AM]  Mua Bột vàng -40 ruby
[10:06:31 AM]  Mua Bột vàng -40 ruby
[10:06:31 AM]  Mua Bột vàng -40 ruby
[10:06:31 AM]  Mua Bột vàng -40 ruby
[10:06:32 AM]  Mua Bột vàng -40 ruby
[10:06:32 AM]  Mua Bột vàng -40 ruby
[10:06:32 AM]  Mua Bột vàng -40 ruby
[10:06:32 AM]  Mua Bột vàng -40 ruby
[10:08:49 AM]  Giao dịch bery với devuong nhận +0 beri
[10:09:00 AM]  Logout : [Beri] 1.955.000.085 [Ruby] 1.000.496.640
