[11:06:25 AM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000
[11:08:55 AM]  Mua 99 vé vòng quay -1485 ruby
[11:09:16 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:09:20 AM]  Mua Xp Chiêu thức -6000 ruby
[11:09:23 AM]  Mua Xp Chiêu thức -6000 ruby
[11:09:26 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:09:28 AM]  Mua Kinh nghiệm X2 -3 ruby
[11:11:27 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:28 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:28 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:28 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:29 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:29 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:29 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:29 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:29 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:29 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:30 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:30 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:30 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:30 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:30 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:31 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:31 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:31 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:31 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:31 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:31 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:31 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:32 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:32 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:32 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:32 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:32 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:33 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:33 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:33 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:33 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:33 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:34 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:34 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:34 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:34 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:34 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:35 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:35 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:35 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:35 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:35 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:35 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:36 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:36 AM]  Mua Cơm hộp hải tặc -0 beri
[11:11:37 AM]  Mua Quả Conache -0 beri
[11:11:38 AM]  Mua Quả Conache -0 beri
[11:11:38 AM]  Mua Quả Conache -0 beri
[11:11:38 AM]  Mua Quả Conache -0 beri
[11:11:38 AM]  Mua Quả Conache -0 beri
[11:11:39 AM]  Mua Quả Conache -0 beri
[11:11:39 AM]  Mua Quả Conache -0 beri
[11:11:39 AM]  Mua Quả Conache -0 beri
[11:11:39 AM]  Mua Quả Conache -0 beri
