[03:36:42 AM]  Login : [Beri] 1.998.592.071 [Ruby] 1.000.255.800
[03:37:05 AM]  Nhặt +630 beri
[03:37:51 AM]  Nhặt +1710 beri
[03:38:02 AM]  Logout : [Beri] 1.998.594.411 [Ruby] 1.000.255.800
[03:38:19 AM]  Login : [Beri] 1.998.594.411 [Ruby] 1.000.255.800
[03:57:32 AM]  Logout : [Beri] 1.969.544.411 [Ruby] 1.000.255.800
[03:58:50 AM]  Login : [Beri] 1.969.544.411 [Ruby] 1.000.255.800
[04:01:50 AM]  Logout : [Beri] 1.969.544.411 [Ruby] 1.000.255.800
[04:02:53 AM]  Login : [Beri] 1.969.544.411 [Ruby] 1.000.255.800
[04:03:18 AM]  Cường hóa item Quả Tim -3000 beri
[04:03:25 AM]  Cường hóa item Quả Tim -3000 beri
[04:03:27 AM]  Cường hóa item Quả Tim -4000 beri
[04:03:27 AM]  Cường hóa item Quả Tim -4000 beri
[04:03:29 AM]  Cường hóa item Quả Tim -4000 beri
[04:03:29 AM]  Cường hóa item Quả Tim -4000 beri
[04:03:31 AM]  Cường hóa item Quả Tim -4000 beri
[04:03:31 AM]  Cường hóa item Quả Tim -4000 beri
[04:03:33 AM]  Cường hóa item Quả Tim -4000 beri
[04:03:33 AM]  Cường hóa item Quả Tim -4000 beri
[04:03:35 AM]  Cường hóa item Quả Tim -4000 beri
[04:03:35 AM]  Cường hóa item Quả Tim -4000 beri
[04:03:37 AM]  Cường hóa item Quả Tim -4000 beri
[04:03:37 AM]  Cường hóa item Quả Tim -4000 beri
[04:03:39 AM]  Cường hóa item Quả Tim -4000 beri
[04:03:39 AM]  Cường hóa item Quả Tim -4000 beri
[04:03:40 AM]  Cường hóa item Quả Tim -6000 beri
[04:03:49 AM]  Mua Bột cường hóa -20 ruby
[04:03:49 AM]  Mua Bột cường hóa -20 ruby
[04:03:49 AM]  Mua Bột cường hóa -20 ruby
[04:03:49 AM]  Mua Bột cường hóa -20 ruby
[04:03:50 AM]  Mua Bột cường hóa -20 ruby
[04:03:50 AM]  Mua Bột cường hóa -20 ruby
[04:03:50 AM]  Mua Bột cường hóa -20 ruby
[04:03:50 AM]  Mua Bột cường hóa -20 ruby
[04:03:50 AM]  Mua Bột cường hóa -20 ruby
[04:03:51 AM]  Mua Bột cường hóa -20 ruby
[04:03:51 AM]  Mua Bột cường hóa -20 ruby
[04:03:51 AM]  Mua Bột cường hóa -20 ruby
[04:03:51 AM]  Mua Bột cường hóa -20 ruby
[04:03:51 AM]  Mua Bột cường hóa -20 ruby
[04:03:51 AM]  Mua Bột cường hóa -20 ruby
[04:03:52 AM]  Mua Bột cường hóa -20 ruby
[04:03:52 AM]  Mua Bột cường hóa -20 ruby
[04:03:52 AM]  Mua Bột cường hóa -20 ruby
[04:03:52 AM]  Mua Bột cường hóa -20 ruby
[04:03:52 AM]  Mua Bột cường hóa -20 ruby
[04:03:52 AM]  Mua Bột cường hóa -20 ruby
[04:03:53 AM]  Mua Bột cường hóa -20 ruby
[04:03:53 AM]  Mua Bột cường hóa -20 ruby
[04:03:53 AM]  Mua Bột cường hóa -20 ruby
[04:03:53 AM]  Mua Bột cường hóa -20 ruby
[04:03:53 AM]  Mua Bột cường hóa -20 ruby
[04:03:53 AM]  Mua Bột cường hóa -20 ruby
[04:03:54 AM]  Mua Bột cường hóa -20 ruby
[04:03:54 AM]  Mua Bột cường hóa -20 ruby
[04:03:54 AM]  Mua Bột cường hóa -20 ruby
[04:03:54 AM]  Mua Bột cường hóa -20 ruby
[04:03:54 AM]  Mua Bột cường hóa -20 ruby
[04:03:54 AM]  Mua Bột cường hóa -20 ruby
[04:03:55 AM]  Mua Bột cường hóa -20 ruby
[04:03:55 AM]  Mua Bột cường hóa -20 ruby
[04:03:55 AM]  Mua Bột cường hóa -20 ruby
[04:03:55 AM]  Mua Bột cường hóa -20 ruby
[04:03:56 AM]  Mua Bột cường hóa -20 ruby
[04:03:56 AM]  Mua Bột cường hóa -20 ruby
[04:03:56 AM]  Mua Bột cường hóa -20 ruby
[04:03:56 AM]  Mua Bột cường hóa -20 ruby
[04:03:56 AM]  Mua Bột cường hóa -20 ruby
[04:03:57 AM]  Mua Bột cường hóa -20 ruby
[04:03:57 AM]  Mua Bột cường hóa -20 ruby
[04:03:57 AM]  Mua Bột cường hóa -20 ruby
[04:03:57 AM]  Mua Bột cường hóa -20 ruby
[04:03:57 AM]  Mua Bột cường hóa -20 ruby
[04:03:57 AM]  Mua Bột cường hóa -20 ruby
[04:03:58 AM]  Mua Bột cường hóa -20 ruby
[04:04:09 AM]  Cường hóa item Quả Tim -6000 beri
[04:04:10 AM]  Cường hóa item Quả Tim -6000 beri
[04:04:11 AM]  Cường hóa item Quả Tim -6000 beri
[04:04:11 AM]  Cường hóa item Quả Tim -6000 beri
[04:04:13 AM]  Cường hóa item Quả Tim -6000 beri
[04:04:14 AM]  Cường hóa item Quả Tim -6000 beri
[04:04:15 AM]  Cường hóa item Quả Tim -6000 beri
[04:04:15 AM]  Cường hóa item Quả Tim -6000 beri
[04:04:17 AM]  Cường hóa item Quả Tim -6000 beri
[04:04:17 AM]  Cường hóa item Quả Tim -8000 beri
[04:04:19 AM]  Cường hóa item Quả Tim -8000 beri
[04:04:19 AM]  Cường hóa item Quả Tim -10000 beri
[04:04:21 AM]  Cường hóa item Quả Tim -10000 beri
[04:04:21 AM]  Cường hóa item Quả Tim -10000 beri
[04:04:23 AM]  Cường hóa item Quả Tim -10000 beri
[04:12:12 AM]  Logout : [Beri] 1.958.866.411 [Ruby] 1.000.254.820
[04:51:21 AM]  Login : [Beri] 1.958.866.411 [Ruby] 1.000.254.820
[04:52:16 AM]  Nhặt +1950 beri
[04:53:45 AM]  Nhặt +7950 beri
[04:55:56 AM]  Mua Bột cường hóa -20 ruby
[04:55:56 AM]  Mua Bột cường hóa -20 ruby
[04:55:57 AM]  Mua Bột cường hóa -20 ruby
[04:55:57 AM]  Mua Bột cường hóa -20 ruby
[04:55:57 AM]  Mua Bột cường hóa -20 ruby
[04:55:57 AM]  Mua Bột cường hóa -20 ruby
[04:55:57 AM]  Mua Bột cường hóa -20 ruby
[04:55:57 AM]  Mua Bột cường hóa -20 ruby
[04:55:57 AM]  Mua Bột cường hóa -20 ruby
[04:55:58 AM]  Mua Bột cường hóa -20 ruby
[04:55:58 AM]  Mua Bột cường hóa -20 ruby
[04:55:58 AM]  Mua Bột cường hóa -20 ruby
[04:55:58 AM]  Mua Bột cường hóa -20 ruby
[04:55:58 AM]  Mua Bột cường hóa -20 ruby
