[12:06:40 AM]  Login : [Beri] 2.000.000.037 [Ruby] 1.000.484.500
[12:10:34 AM]  Nhặt +1598 beri
[12:11:31 AM]  Mua Súp baratie -1600 beri
[12:11:32 AM]  Mua Súp baratie -1600 beri
[12:11:32 AM]  Mua Súp baratie -1600 beri
[12:12:05 AM]  Mua Kinh nghiệm X2 -3 ruby
[12:12:07 AM]  Mua Xp Chiêu thức -300 ruby
[12:13:27 AM]  Mua Kinh nghiệm X2 -60 ruby
[12:13:30 AM]  Mua Quả Conache -0 beri
[12:13:30 AM]  Mua Quả Conache -0 beri
[12:13:30 AM]  Mua Quả Conache -0 beri
[12:13:30 AM]  Mua Quả Conache -0 beri
[12:13:31 AM]  Mua Quả Conache -0 beri
[12:13:31 AM]  Mua Quả Conache -0 beri
[12:13:31 AM]  Mua Quả Conache -0 beri
[12:13:31 AM]  Mua Quả Conache -0 beri
[12:13:31 AM]  Mua Quả Conache -0 beri
[12:13:31 AM]  Mua Quả Conache -0 beri
[12:13:32 AM]  Mua Quả Conache -0 beri
[12:13:32 AM]  Mua Quả Conache -0 beri
[12:13:32 AM]  Mua Quả Conache -0 beri
[12:13:32 AM]  Mua Quả Conache -0 beri
[12:13:33 AM]  Mua Quả Conache -0 beri
[12:13:33 AM]  Mua Quả Conache -0 beri
[12:13:33 AM]  Mua Quả Conache -0 beri
[12:13:33 AM]  Mua Quả Conache -0 beri
[12:13:34 AM]  Mua Quả Conache -0 beri
[12:13:34 AM]  Mua Quả Conache -0 beri
[12:13:34 AM]  Mua Quả Conache -0 beri
[12:13:34 AM]  Mua Quả Conache -0 beri
[12:13:34 AM]  Mua Quả Conache -0 beri
[12:13:35 AM]  Mua Quả Conache -0 beri
[12:13:35 AM]  Mua Quả Conache -0 beri
[12:13:35 AM]  Mua Quả Conache -0 beri
[12:13:35 AM]  Mua Quả Conache -0 beri
[12:13:35 AM]  Mua Quả Conache -0 beri
[12:13:35 AM]  Mua Quả Conache -0 beri
[12:13:36 AM]  Mua Quả Conache -0 beri
[12:13:36 AM]  Mua Quả Conache -0 beri
[12:13:36 AM]  Mua Quả Conache -0 beri
[12:13:38 AM]  Mua Súp baratie -1600 beri
[12:13:38 AM]  Mua Súp baratie -1600 beri
[12:13:38 AM]  Mua Súp baratie -1600 beri
[12:13:39 AM]  Mua Súp baratie -1600 beri
[12:13:39 AM]  Mua Súp baratie -1600 beri
[12:13:39 AM]  Mua Súp baratie -1600 beri
[12:13:39 AM]  Mua Súp baratie -1600 beri
[12:13:39 AM]  Mua Súp baratie -1600 beri
[12:13:39 AM]  Mua Súp baratie -1600 beri
[12:13:40 AM]  Mua Súp baratie -1600 beri
[12:13:40 AM]  Mua Súp baratie -1600 beri
[12:13:40 AM]  Mua Súp baratie -1600 beri
[12:13:40 AM]  Mua Súp baratie -1600 beri
[12:13:40 AM]  Mua Súp baratie -1600 beri
[12:13:41 AM]  Mua Súp baratie -1600 beri
[12:13:41 AM]  Mua Súp baratie -1600 beri
[12:13:41 AM]  Mua Súp baratie -1600 beri
[12:13:41 AM]  Mua Súp baratie -1600 beri
[12:13:41 AM]  Mua Súp baratie -1600 beri
[12:13:42 AM]  Mua Súp baratie -1600 beri
[12:13:56 AM]  Nhặt +6018 beri
[12:20:14 AM]  Mua Mai rùa -140 ruby
[12:20:14 AM]  Mua Mai rùa -140 ruby
[12:20:14 AM]  Mua Mai rùa -140 ruby
[12:20:14 AM]  Mua Mai rùa -140 ruby
[12:20:14 AM]  Mua Mai rùa -140 ruby
[12:20:14 AM]  Mua Mai rùa -140 ruby
[12:20:15 AM]  Mua Mai rùa -140 ruby
[12:20:15 AM]  Mua Mai rùa -140 ruby
[12:20:15 AM]  Mua Mai rùa -140 ruby
[12:20:15 AM]  Mua Mai rùa -140 ruby
[12:20:15 AM]  Mua Mai rùa -140 ruby
[12:20:15 AM]  Mua Mai rùa -140 ruby
[12:20:16 AM]  Mua Mai rùa -140 ruby
[12:20:16 AM]  Mua Mai rùa -140 ruby
[12:20:16 AM]  Mua Mai rùa -140 ruby
[12:20:16 AM]  Mua Mai rùa -140 ruby
[12:20:16 AM]  Mua Mai rùa -140 ruby
[12:20:16 AM]  Mua Mai rùa -140 ruby
[12:20:17 AM]  Mua Mai rùa -140 ruby
[12:20:19 AM]  Mua Ngôi sao may mắn -100 ruby
[12:20:19 AM]  Mua Ngôi sao may mắn -100 ruby
[12:20:19 AM]  Mua Ngôi sao may mắn -100 ruby
[12:20:19 AM]  Mua Ngôi sao may mắn -100 ruby
[12:20:20 AM]  Mua Ngôi sao may mắn -100 ruby
[12:20:20 AM]  Mua Ngôi sao may mắn -100 ruby
[12:20:20 AM]  Mua Ngôi sao may mắn -100 ruby
[12:20:20 AM]  Mua Ngôi sao may mắn -100 ruby
[12:20:20 AM]  Mua Ngôi sao may mắn -100 ruby
[12:20:20 AM]  Mua Ngôi sao may mắn -100 ruby
[12:20:21 AM]  Mua Ngôi sao may mắn -100 ruby
[12:20:21 AM]  Mua Ngôi sao may mắn -100 ruby
[12:20:21 AM]  Mua Ngôi sao may mắn -100 ruby
[12:20:21 AM]  Mua Ngôi sao may mắn -100 ruby
[12:20:21 AM]  Mua Ngôi sao may mắn -100 ruby
[12:20:21 AM]  Mua Ngôi sao may mắn -100 ruby
[12:20:22 AM]  Mua Ngôi sao may mắn -100 ruby
[12:20:22 AM]  Mua Ngôi sao may mắn -100 ruby
[12:20:22 AM]  Mua Ngôi sao may mắn -100 ruby
[12:20:22 AM]  Mua Ngôi sao may mắn -100 ruby
[12:20:22 AM]  Mua Ngôi sao may mắn -100 ruby
[12:20:23 AM]  Mua Ngôi sao may mắn -100 ruby
[12:20:23 AM]  Mua Ngôi sao may mắn -100 ruby
[12:20:25 AM]  Mua Bột vàng -40 ruby
[12:20:25 AM]  Mua Bột vàng -40 ruby
[12:20:25 AM]  Mua Bột vàng -40 ruby
[12:20:26 AM]  Mua Bột vàng -40 ruby
[12:20:26 AM]  Mua Bột vàng -40 ruby
[12:20:26 AM]  Mua Bột vàng -40 ruby
[12:20:26 AM]  Mua Bột vàng -40 ruby
[12:20:26 AM]  Mua Bột vàng -40 ruby
[12:20:26 AM]  Mua Bột vàng -40 ruby
[12:20:26 AM]  Mua Bột vàng -40 ruby
[12:20:27 AM]  Mua Bột vàng -40 ruby
[12:20:27 AM]  Mua Bột vàng -40 ruby
[12:20:27 AM]  Mua Bột vàng -40 ruby
[12:20:27 AM]  Mua Bột vàng -40 ruby
[12:20:27 AM]  Mua Bột vàng -40 ruby
[12:20:28 AM]  Mua Bột vàng -40 ruby
[12:20:28 AM]  Mua Bột vàng -40 ruby
[12:20:28 AM]  Mua Bột vàng -40 ruby
[12:20:28 AM]  Mua Bột vàng -40 ruby
[12:20:28 AM]  Mua Bột vàng -40 ruby
[12:20:29 AM]  Mua Bột vàng -40 ruby
[12:20:29 AM]  Mua Bột vàng -40 ruby
[12:20:29 AM]  Mua Bột vàng -40 ruby
[12:20:29 AM]  Mua Bột vàng -40 ruby
[12:20:34 AM]  Mua Bột cường hóa -1 ruby
[12:20:34 AM]  Mua Bột cường hóa -1 ruby
[12:20:34 AM]  Mua Bột cường hóa -1 ruby
[12:20:34 AM]  Mua Bột cường hóa -1 ruby
[12:20:35 AM]  Mua Bột cường hóa -1 ruby
[12:20:35 AM]  Mua Bột cường hóa -1 ruby
[12:20:35 AM]  Mua Bột cường hóa -20 ruby
[12:20:36 AM]  Mua Bột cường hóa -1 ruby
[12:20:36 AM]  Mua Bột cường hóa -1 ruby
[12:20:36 AM]  Mua Bột cường hóa -1 ruby
[12:20:36 AM]  Mua Bột cường hóa -1 ruby
[12:20:36 AM]  Mua Bột cường hóa -1 ruby
[12:20:37 AM]  Mua Bột cường hóa -1 ruby
[12:20:37 AM]  Mua Bột cường hóa -1 ruby
[12:20:37 AM]  Mua Bột cường hóa -1 ruby
