[12:02:36 AM]  Login : [Beri] 2.000.001.416 [Ruby] 1.000.192.049
[12:11:29 AM]  Mua Búa siêu cấp -10000 ruby
[12:11:31 AM]  Mua Búa siêu cấp -10000 ruby
[12:11:32 AM]  Mua Búa siêu cấp -10000 ruby
[12:11:33 AM]  Mua Búa siêu cấp -10000 ruby
[12:11:33 AM]  Mua Búa siêu cấp -10000 ruby
[12:11:33 AM]  Mua Búa siêu cấp -10000 ruby
[12:11:34 AM]  Mua Búa siêu cấp -10000 ruby
[12:11:34 AM]  Mua Búa siêu cấp -10000 ruby
[12:11:35 AM]  Mua Búa siêu cấp -10000 ruby
[12:11:39 AM]  Mua Búa siêu cấp -10000 ruby
[12:11:39 AM]  Mua Búa siêu cấp -10000 ruby
[12:11:40 AM]  Mua Búa siêu cấp -10000 ruby
[12:11:40 AM]  Mua Búa siêu cấp -10000 ruby
[12:11:40 AM]  Mua Búa siêu cấp -10000 ruby
[12:11:40 AM]  Mua Búa siêu cấp -10000 ruby
[12:11:40 AM]  Mua Búa siêu cấp -10000 ruby
[12:11:40 AM]  Mua Búa siêu cấp -10000 ruby
[12:11:40 AM]  Mua Búa siêu cấp -10000 ruby
[12:11:41 AM]  Mua Búa siêu cấp -10000 ruby
[12:11:41 AM]  Mua Búa siêu cấp -10000 ruby
[12:11:47 AM]  Mua Đá khảm vô cực S -20000000 ruby
[12:11:51 AM]  Mua Đá khảm vô cực S -20000000 ruby
[12:11:58 AM]  Mua Búa siêu cấp -10000 ruby
[12:11:58 AM]  Mua Búa siêu cấp -10000 ruby
[12:11:58 AM]  Mua Búa siêu cấp -10000 ruby
[12:11:59 AM]  Mua Búa siêu cấp -10000 ruby
[12:11:59 AM]  Mua Búa siêu cấp -10000 ruby
[12:11:59 AM]  Mua Búa siêu cấp -10000 ruby
[12:12:12 AM]  Đục lỗ Quả Tim -50 ruby
[12:12:29 AM]  Đục lỗ Quả Tim -50 ruby
[12:12:29 AM]  Đục lỗ Quả Tim -100 ruby
[12:12:29 AM]  Đục lỗ Quả Tim -150 ruby
[12:12:29 AM]  Đục lỗ Quả Tim -150 ruby
[12:12:29 AM]  Đục lỗ Quả Tim -150 ruby
[12:12:29 AM]  Đục lỗ Quả Tim -150 ruby
[12:12:29 AM]  Đục lỗ Quả Tim -150 ruby
[12:12:30 AM]  Đục lỗ Quả Tim -200 ruby
[12:12:30 AM]  Đục lỗ Quả Tim -250 ruby
[12:12:30 AM]  Đục lỗ Quả Tim -250 ruby
[12:12:30 AM]  Đục lỗ Quả Tim -250 ruby
[12:12:30 AM]  Đục lỗ Quả Tim -250 ruby
[12:12:31 AM]  Đục lỗ Quả Tim -250 ruby
[12:12:31 AM]  Đục lỗ Quả Tim -250 ruby
[12:12:31 AM]  Đục lỗ Quả Tim -250 ruby
[12:12:31 AM]  Đục lỗ Quả Tim -250 ruby
[12:12:31 AM]  Đục lỗ Quả Tim -250 ruby
[12:12:31 AM]  Đục lỗ Quả Tim -250 ruby
[12:12:32 AM]  Đục lỗ Quả Tim -250 ruby
[12:12:32 AM]  Đục lỗ Quả Tim -250 ruby
[12:12:32 AM]  Đục lỗ Quả Tim -250 ruby
[12:12:33 AM]  Đục lỗ Quả Tim -250 ruby
[12:12:33 AM]  Đục lỗ Quả Tim -250 ruby
[12:12:33 AM]  Đục lỗ Quả Tim -250 ruby
[12:12:33 AM]  Đục lỗ Quả Tim -250 ruby
[12:12:33 AM]  Đục lỗ Quả Tim -250 ruby
[12:12:33 AM]  Đục lỗ Quả Tim -250 ruby
[12:12:33 AM]  Đục lỗ Quả Tim -250 ruby
[12:12:33 AM]  Đục lỗ Quả Tim -250 ruby
[12:12:33 AM]  Đục lỗ Quả Tim -250 ruby
[12:12:33 AM]  Đục lỗ Quả Tim -250 ruby
[12:12:33 AM]  Đục lỗ Quả Tim -250 ruby
[12:12:34 AM]  Đục lỗ Quả Tim -250 ruby
[12:12:34 AM]  Đục lỗ Quả Tim -250 ruby
[12:12:35 AM]  Đục lỗ Quả Tim -250 ruby
[12:12:35 AM]  Đục lỗ Quả Tim -250 ruby
[12:12:35 AM]  Đục lỗ Quả Tim -250 ruby
[12:12:35 AM]  Đục lỗ Quả Tim -300 ruby
[12:12:35 AM]  Đục lỗ Quả Tim -300 ruby
[12:12:35 AM]  Đục lỗ Quả Tim -300 ruby
[12:12:35 AM]  Đục lỗ Quả Tim -300 ruby
[12:12:35 AM]  Đục lỗ Quả Tim -300 ruby
[12:12:35 AM]  Đục lỗ Quả Tim -300 ruby
[12:12:35 AM]  Đục lỗ Quả Tim -300 ruby
[12:12:37 AM]  Đục lỗ Quả Tim -300 ruby
[12:12:37 AM]  Đục lỗ Quả Tim -300 ruby
[12:12:37 AM]  Đục lỗ Quả Tim -300 ruby
[12:12:37 AM]  Đục lỗ Quả Tim -300 ruby
[12:12:37 AM]  Đục lỗ Quả Tim -300 ruby
[12:12:37 AM]  Đục lỗ Quả Tim -300 ruby
[12:12:37 AM]  Đục lỗ Quả Tim -300 ruby
[12:12:38 AM]  Đục lỗ Quả Tim -300 ruby
[12:12:38 AM]  Đục lỗ Quả Tim -300 ruby
[12:12:38 AM]  Đục lỗ Quả Tim -350 ruby
[12:12:39 AM]  Đục lỗ Quả Tim -350 ruby
[12:12:49 AM]  Đục lỗ Dial 4 -50 ruby
[12:12:49 AM]  Đục lỗ Dial 4 -50 ruby
[12:12:49 AM]  Đục lỗ Dial 4 -50 ruby
[12:12:49 AM]  Đục lỗ Dial 4 -50 ruby
[12:12:49 AM]  Đục lỗ Dial 4 -100 ruby
[12:12:49 AM]  Đục lỗ Dial 4 -100 ruby
[12:12:49 AM]  Đục lỗ Dial 4 -150 ruby
[12:12:51 AM]  Đục lỗ Dial 4 -150 ruby
[12:12:51 AM]  Đục lỗ Dial 4 -150 ruby
[12:12:51 AM]  Đục lỗ Dial 4 -150 ruby
[12:12:52 AM]  Đục lỗ Dial 4 -150 ruby
[12:12:52 AM]  Đục lỗ Dial 4 -150 ruby
[12:12:52 AM]  Đục lỗ Dial 4 -150 ruby
[12:12:52 AM]  Đục lỗ Dial 4 -150 ruby
[12:12:52 AM]  Đục lỗ Dial 4 -150 ruby
[12:12:52 AM]  Đục lỗ Dial 4 -200 ruby
[12:12:52 AM]  Đục lỗ Dial 4 -200 ruby
[12:12:52 AM]  Đục lỗ Dial 4 -200 ruby
[12:12:53 AM]  Đục lỗ Dial 4 -200 ruby
[12:12:53 AM]  Đục lỗ Dial 4 -200 ruby
[12:12:53 AM]  Đục lỗ Dial 4 -200 ruby
[12:12:53 AM]  Đục lỗ Dial 4 -200 ruby
[12:12:53 AM]  Đục lỗ Dial 4 -200 ruby
[12:12:53 AM]  Đục lỗ Dial 4 -200 ruby
[12:12:53 AM]  Đục lỗ Dial 4 -200 ruby
[12:12:54 AM]  Đục lỗ Dial 4 -200 ruby
[12:12:54 AM]  Đục lỗ Dial 4 -200 ruby
[12:12:54 AM]  Đục lỗ Dial 4 -200 ruby
[12:12:55 AM]  Đục lỗ Dial 4 -200 ruby
[12:12:55 AM]  Đục lỗ Dial 4 -200 ruby
[12:12:55 AM]  Đục lỗ Dial 4 -200 ruby
[12:12:56 AM]  Đục lỗ Dial 4 -200 ruby
[12:12:56 AM]  Đục lỗ Dial 4 -200 ruby
[12:12:56 AM]  Đục lỗ Dial 4 -200 ruby
[12:12:56 AM]  Đục lỗ Dial 4 -200 ruby
[12:12:56 AM]  Đục lỗ Dial 4 -200 ruby
[12:12:56 AM]  Đục lỗ Dial 4 -200 ruby
[12:12:57 AM]  Đục lỗ Dial 4 -200 ruby
[12:12:57 AM]  Đục lỗ Dial 4 -200 ruby
[12:12:57 AM]  Đục lỗ Dial 4 -200 ruby
[12:12:57 AM]  Đục lỗ Dial 4 -250 ruby
[12:12:57 AM]  Đục lỗ Dial 4 -300 ruby
[12:12:57 AM]  Đục lỗ Dial 4 -350 ruby
[12:12:58 AM]  Đục lỗ Dial 4 -350 ruby
[12:12:58 AM]  Đục lỗ Dial 4 -350 ruby
[12:12:58 AM]  Đục lỗ Dial 4 -350 ruby
[12:13:19 AM]  Khảm ngọc lên -> Quả Tim -400 ruby
[12:13:37 AM]  Khảm ngọc lên -> Quả Tim -400 ruby
[12:13:41 AM]  Khảm ngọc lên -> Dial 4 -400 ruby
[12:14:30 AM]  Khảm ngọc lên -> Quả Tim -400 ruby
[12:14:35 AM]  Khảm ngọc lên -> Quả Tim -400 ruby
[12:14:36 AM]  Khảm ngọc lên -> Quả Tim -400 ruby
[12:14:38 AM]  Khảm ngọc lên -> Quả Tim -400 ruby
[12:14:40 AM]  Khảm ngọc lên -> Quả Tim -400 ruby
[12:14:43 AM]  Khảm ngọc lên -> Quả Tim -400 ruby
[12:14:45 AM]  Khảm ngọc lên -> Quả Tim -400 ruby
[12:14:50 AM]  Khảm ngọc lên -> Dial 4 -400 ruby
[12:14:52 AM]  Khảm ngọc lên -> Dial 4 -400 ruby
[12:14:55 AM]  Khảm ngọc lên -> Dial 4 -400 ruby
[12:14:58 AM]  Khảm ngọc lên -> Dial 4 -400 ruby
[12:15:00 AM]  Khảm ngọc lên -> Dial 4 -400 ruby
[12:15:03 AM]  Khảm ngọc lên -> Dial 4 -400 ruby
[12:15:05 AM]  Khảm ngọc lên -> Dial 4 -400 ruby
[12:15:15 AM]  Mua Bột cường hóa -20 ruby
[12:15:15 AM]  Mua Bột cường hóa -20 ruby
[12:15:15 AM]  Mua Bột cường hóa -20 ruby
[12:15:15 AM]  Mua Bột cường hóa -20 ruby
[12:15:15 AM]  Mua Bột cường hóa -20 ruby
[12:15:15 AM]  Mua Bột cường hóa -20 ruby
[12:15:15 AM]  Mua Bột cường hóa -20 ruby
[12:15:15 AM]  Mua Bột cường hóa -20 ruby
[12:15:15 AM]  Mua Bột cường hóa -20 ruby
[12:15:15 AM]  Mua Bột cường hóa -20 ruby
[12:15:15 AM]  Mua Bột cường hóa -20 ruby
[12:15:15 AM]  Mua Bột cường hóa -20 ruby
[12:15:15 AM]  Mua Bột cường hóa -20 ruby
[12:15:16 AM]  Mua Bột cường hóa -20 ruby
[12:15:16 AM]  Mua Bột cường hóa -20 ruby
[12:15:16 AM]  Mua Bột cường hóa -20 ruby
[12:15:16 AM]  Mua Bột cường hóa -20 ruby
[12:15:16 AM]  Mua Bột cường hóa -20 ruby
[12:15:16 AM]  Mua Bột cường hóa -20 ruby
[12:15:16 AM]  Mua Bột cường hóa -20 ruby
[12:15:16 AM]  Mua Bột cường hóa -20 ruby
[12:15:16 AM]  Mua Bột cường hóa -20 ruby
