[07:20:06 AM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000
[07:20:16 AM]  Nhặt +190 beri
[07:21:58 AM]  Logout : [Beri] 2.000.000.190 [Ruby] 500.000
[07:22:20 AM]  Login : [Beri] 2.000.000.190 [Ruby] 500.000
[07:22:45 AM]  Nhập giftcode Bạn nhận được:
Beri : 0
Ruby : 0
Item : Thiên thạch may mắn x10, 
[07:24:38 AM]  Logout : [Beri] 2.000.000.190 [Ruby] 500.000
[07:29:34 AM]  Login : [Beri] 2.000.000.190 [Ruby] 500.000
[07:31:31 AM]  Giao dịch bery với kenbin nhận +0 beri
[07:31:55 AM]  Nhập giftcode Bạn nhận được:
Beri : 2000000000
Ruby : 1000000000
Item : 
[07:33:26 AM]  Giao dịch bery với kenbin nhận +0 beri
[07:33:26 AM]  Giao dịch bery với kenbin nhận Mũ áp tai 2
[07:33:42 AM]  Mua Bột cường hóa -20 ruby
[07:33:42 AM]  Mua Bột cường hóa -20 ruby
[07:33:42 AM]  Mua Bột cường hóa -20 ruby
[07:33:42 AM]  Mua Bột cường hóa -20 ruby
[07:33:43 AM]  Mua Bột cường hóa -20 ruby
[07:33:43 AM]  Mua Bột cường hóa -20 ruby
[07:33:43 AM]  Mua Bột cường hóa -20 ruby
[07:33:43 AM]  Mua Bột cường hóa -20 ruby
[07:33:43 AM]  Mua Bột cường hóa -20 ruby
[07:33:43 AM]  Mua Bột cường hóa -20 ruby
[07:33:44 AM]  Mua Bột cường hóa -20 ruby
[07:33:44 AM]  Mua Bột cường hóa -20 ruby
[07:33:44 AM]  Mua Bột cường hóa -20 ruby
[07:33:44 AM]  Mua Bột cường hóa -20 ruby
[07:33:44 AM]  Mua Bột cường hóa -20 ruby
[07:33:44 AM]  Mua Bột cường hóa -20 ruby
[07:33:45 AM]  Mua Bột cường hóa -20 ruby
[07:33:45 AM]  Mua Bột cường hóa -20 ruby
[07:33:45 AM]  Mua Bột cường hóa -20 ruby
[07:33:45 AM]  Mua Bột cường hóa -20 ruby
[07:33:45 AM]  Mua Bột cường hóa -20 ruby
[07:33:45 AM]  Mua Bột cường hóa -20 ruby
[07:33:46 AM]  Mua Bột cường hóa -20 ruby
[07:33:46 AM]  Mua Bột cường hóa -20 ruby
[07:33:46 AM]  Mua Bột cường hóa -20 ruby
[07:33:46 AM]  Mua Bột cường hóa -20 ruby
[07:33:46 AM]  Mua Bột cường hóa -20 ruby
[07:33:46 AM]  Mua Bột cường hóa -20 ruby
[07:33:47 AM]  Mua Bột cường hóa -20 ruby
