[06:48:01 AM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000
[06:48:44 AM]  Giao dịch bery với canival nhận +0 beri
[06:48:44 AM]  Giao dịch bery với canival nhận Ngực trần sức mạnh 2
[06:48:44 AM]  Giao dịch bery với canival nhận Găng tay sức mạnh 2
[06:48:54 AM]  Mua Bột cường hóa -20 ruby
[06:48:54 AM]  Mua Bột cường hóa -20 ruby
[06:48:55 AM]  Mua Bột cường hóa -20 ruby
[06:48:55 AM]  Mua Bột cường hóa -20 ruby
[06:48:55 AM]  Mua Bột cường hóa -20 ruby
[06:48:56 AM]  Mua Bột cường hóa -20 ruby
[06:48:56 AM]  Mua Bột cường hóa -20 ruby
[06:48:56 AM]  Mua Bột cường hóa -20 ruby
[06:48:57 AM]  Mua Bột cường hóa -20 ruby
[06:48:57 AM]  Mua Bột cường hóa -20 ruby
[06:48:57 AM]  Mua Bột cường hóa -20 ruby
[06:48:57 AM]  Mua Bột cường hóa -20 ruby
[06:48:58 AM]  Mua Bột cường hóa -20 ruby
[06:48:58 AM]  Mua Bột cường hóa -20 ruby
[06:48:59 AM]  Mua Bột cường hóa -20 ruby
[06:48:59 AM]  Mua Bột cường hóa -20 ruby
[06:48:59 AM]  Mua Bột cường hóa -20 ruby
[06:49:00 AM]  Mua Bột cường hóa -20 ruby
[06:49:00 AM]  Mua Bột cường hóa -20 ruby
[06:49:00 AM]  Mua Bột cường hóa -20 ruby
[06:49:01 AM]  Mua Bột cường hóa -20 ruby
[06:49:01 AM]  Mua Bột cường hóa -20 ruby
[06:49:01 AM]  Mua Bột cường hóa -20 ruby
[06:49:01 AM]  Mua Bột cường hóa -20 ruby
[06:49:02 AM]  Mua Bột cường hóa -20 ruby
[06:49:02 AM]  Mua Bột cường hóa -20 ruby
[06:49:02 AM]  Mua Bột cường hóa -20 ruby
[06:49:02 AM]  Mua Bột cường hóa -20 ruby
[06:49:03 AM]  Mua Bột cường hóa -20 ruby
[06:49:03 AM]  Mua Bột cường hóa -20 ruby
[06:49:04 AM]  Mua Bột cường hóa -20 ruby
[06:49:04 AM]  Mua Bột cường hóa -20 ruby
[06:49:04 AM]  Mua Bột cường hóa -20 ruby
[06:49:05 AM]  Mua Bột cường hóa -20 ruby
[06:49:05 AM]  Mua Bột cường hóa -20 ruby
[06:49:05 AM]  Mua Bột cường hóa -20 ruby
[06:49:09 AM]  Mua Bột cường hóa -20 ruby
[06:49:09 AM]  Mua Bột cường hóa -20 ruby
[06:49:09 AM]  Mua Bột cường hóa -20 ruby
[06:49:10 AM]  Mua Bột cường hóa -20 ruby
[06:49:10 AM]  Mua Bột cường hóa -20 ruby
[06:49:10 AM]  Mua Bột cường hóa -20 ruby
[06:49:11 AM]  Mua Bột cường hóa -20 ruby
[06:49:11 AM]  Mua Bột cường hóa -20 ruby
[06:49:11 AM]  Mua Bột cường hóa -20 ruby
[06:49:11 AM]  Mua Bột cường hóa -20 ruby
[06:49:12 AM]  Mua Bột cường hóa -20 ruby
[06:49:13 AM]  Mua Bột cường hóa -20 ruby
[06:49:13 AM]  Mua Bột cường hóa -20 ruby
[06:49:13 AM]  Mua Bột cường hóa -20 ruby
[06:49:14 AM]  Mua Bột cường hóa -20 ruby
[06:49:14 AM]  Mua Bột cường hóa -20 ruby
[06:49:14 AM]  Mua Bột cường hóa -20 ruby
[06:49:14 AM]  Mua Bột cường hóa -20 ruby
[06:49:14 AM]  Mua Bột cường hóa -20 ruby
[06:49:15 AM]  Mua Bột cường hóa -20 ruby
[06:49:18 AM]  Mua Bột vàng -40 ruby
[06:49:19 AM]  Mua Bột vàng -40 ruby
[06:49:19 AM]  Mua Bột vàng -40 ruby
[06:49:19 AM]  Mua Bột vàng -40 ruby
[06:49:19 AM]  Mua Bột vàng -40 ruby
[06:49:20 AM]  Mua Bột vàng -40 ruby
[06:49:20 AM]  Mua Bột vàng -40 ruby
[06:49:20 AM]  Mua Bột vàng -40 ruby
[06:49:20 AM]  Mua Bột vàng -40 ruby
[06:49:21 AM]  Mua Bột vàng -40 ruby
[06:49:21 AM]  Mua Bột vàng -40 ruby
[06:49:21 AM]  Mua Bột vàng -40 ruby
[06:49:21 AM]  Mua Bột vàng -40 ruby
[06:49:21 AM]  Mua Bột vàng -40 ruby
[06:49:22 AM]  Mua Bột vàng -40 ruby
[06:49:22 AM]  Mua Bột vàng -40 ruby
[06:49:22 AM]  Mua Bột vàng -40 ruby
[06:49:23 AM]  Mua Bột vàng -40 ruby
[06:49:23 AM]  Mua Bột vàng -40 ruby
[06:49:23 AM]  Mua Bột vàng -40 ruby
[06:49:24 AM]  Mua Bột vàng -40 ruby
[06:49:24 AM]  Mua Bột vàng -40 ruby
[06:49:24 AM]  Mua Bột vàng -40 ruby
[06:49:24 AM]  Mua Bột vàng -40 ruby
[06:49:24 AM]  Mua Bột vàng -40 ruby
[06:49:25 AM]  Mua Bột vàng -40 ruby
[06:49:25 AM]  Mua Bột vàng -40 ruby
[06:49:25 AM]  Mua Bột vàng -40 ruby
[06:49:26 AM]  Mua Bột vàng -40 ruby
[06:49:26 AM]  Mua Bột vàng -40 ruby
[06:49:26 AM]  Mua Bột vàng -40 ruby
[06:49:27 AM]  Mua Bột vàng -40 ruby
[06:49:27 AM]  Mua Bột vàng -40 ruby
[06:49:27 AM]  Mua Bột vàng -40 ruby
[06:49:27 AM]  Mua Bột vàng -40 ruby
[06:49:28 AM]  Mua Bột vàng -40 ruby
[06:49:28 AM]  Mua Bột vàng -40 ruby
[06:49:28 AM]  Mua Bột vàng -40 ruby
[06:49:29 AM]  Mua Bột vàng -40 ruby
[06:49:29 AM]  Mua Bột vàng -40 ruby
[06:49:29 AM]  Mua Bột vàng -40 ruby
[06:49:29 AM]  Mua Bột vàng -40 ruby
[06:49:30 AM]  Mua Bột vàng -40 ruby
[06:49:30 AM]  Mua Bột vàng -40 ruby
[06:49:30 AM]  Mua Bột vàng -40 ruby
[06:49:30 AM]  Mua Bột vàng -40 ruby
[06:49:31 AM]  Mua Bột vàng -40 ruby
[06:49:31 AM]  Mua Bột vàng -40 ruby
[06:49:31 AM]  Mua Bột vàng -40 ruby
[06:49:32 AM]  Mua Bột vàng -40 ruby
[06:49:32 AM]  Mua Bột vàng -40 ruby
[06:49:36 AM]  Mua Mai rùa -140 ruby
[06:49:36 AM]  Mua Mai rùa -140 ruby
[06:52:36 AM]  Giao dịch bery với canival nhận +0 beri
[07:00:12 AM]  Logout : [Beri] 1.950.500.000 [Ruby] 496.560
