[11:36:12 AM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000
[11:36:35 AM]  Nhặt +78 beri
[11:36:50 AM]  Nhặt +155 beri
[11:39:30 AM]  Logout : [Beri] 2.000.000.233 [Ruby] 500.000
[11:39:39 AM]  Login : [Beri] 2.000.000.233 [Ruby] 500.000
[11:39:57 AM]  Nhập giftcode Bạn nhận được:
Beri : 0
Ruby : 0
Item : Thiên thạch may mắn x10, 
[11:40:24 AM]  Giao dịch bery với inhxff nhận +0 beri
[11:40:24 AM]  Giao dịch bery với inhxff nhận Xà rông nâu 2
[11:40:43 AM]  Mua Bột cường hóa -20 ruby
[11:40:44 AM]  Mua Bột cường hóa -20 ruby
[11:40:44 AM]  Mua Bột cường hóa -20 ruby
[11:40:44 AM]  Mua Bột cường hóa -20 ruby
[11:40:44 AM]  Mua Bột cường hóa -20 ruby
[11:40:44 AM]  Mua Bột cường hóa -20 ruby
[11:40:44 AM]  Mua Bột cường hóa -20 ruby
[11:40:45 AM]  Mua Bột cường hóa -20 ruby
[11:40:45 AM]  Mua Bột cường hóa -20 ruby
[11:40:45 AM]  Mua Bột cường hóa -20 ruby
[11:40:45 AM]  Mua Bột cường hóa -20 ruby
[11:40:45 AM]  Mua Bột cường hóa -20 ruby
[11:40:46 AM]  Mua Bột cường hóa -20 ruby
[11:40:46 AM]  Mua Bột cường hóa -20 ruby
[11:40:46 AM]  Mua Bột cường hóa -20 ruby
[11:40:46 AM]  Mua Bột cường hóa -20 ruby
[11:40:46 AM]  Mua Bột cường hóa -20 ruby
[11:40:46 AM]  Mua Bột cường hóa -20 ruby
[11:40:47 AM]  Mua Bột cường hóa -20 ruby
[11:40:47 AM]  Mua Bột cường hóa -20 ruby
[11:40:47 AM]  Mua Bột cường hóa -20 ruby
[11:40:47 AM]  Mua Bột cường hóa -20 ruby
[11:40:47 AM]  Mua Bột cường hóa -20 ruby
[11:40:48 AM]  Mua Bột cường hóa -20 ruby
[11:40:48 AM]  Mua Bột cường hóa -20 ruby
[11:40:48 AM]  Mua Bột cường hóa -20 ruby
[11:40:48 AM]  Mua Bột cường hóa -20 ruby
[11:40:48 AM]  Mua Bột cường hóa -20 ruby
[11:40:48 AM]  Mua Bột cường hóa -20 ruby
[11:40:49 AM]  Mua Bột cường hóa -20 ruby
[11:40:49 AM]  Mua Bột cường hóa -20 ruby
[11:40:49 AM]  Mua Bột cường hóa -20 ruby
[11:40:49 AM]  Mua Bột cường hóa -20 ruby
[11:40:49 AM]  Mua Bột cường hóa -20 ruby
[11:40:50 AM]  Mua Bột cường hóa -20 ruby
[11:40:50 AM]  Mua Bột cường hóa -20 ruby
[11:40:50 AM]  Mua Bột cường hóa -20 ruby
[11:40:50 AM]  Mua Bột cường hóa -20 ruby
[11:40:50 AM]  Mua Bột cường hóa -20 ruby
[11:40:51 AM]  Mua Bột cường hóa -20 ruby
[11:40:51 AM]  Mua Bột cường hóa -20 ruby
[11:40:51 AM]  Mua Bột cường hóa -20 ruby
[11:40:51 AM]  Mua Bột cường hóa -20 ruby
[11:40:51 AM]  Mua Bột cường hóa -20 ruby
[11:40:51 AM]  Mua Bột cường hóa -20 ruby
[11:40:52 AM]  Mua Bột cường hóa -20 ruby
[11:40:52 AM]  Mua Bột cường hóa -20 ruby
[11:40:52 AM]  Mua Bột cường hóa -20 ruby
[11:40:52 AM]  Mua Bột cường hóa -20 ruby
[11:40:52 AM]  Mua Bột cường hóa -20 ruby
[11:40:53 AM]  Mua Bột cường hóa -20 ruby
[11:40:53 AM]  Mua Bột cường hóa -20 ruby
[11:40:53 AM]  Mua Bột cường hóa -20 ruby
[11:40:53 AM]  Mua Bột cường hóa -20 ruby
[11:40:53 AM]  Mua Bột cường hóa -20 ruby
[11:40:54 AM]  Mua Bột cường hóa -20 ruby
[11:40:54 AM]  Mua Bột cường hóa -20 ruby
[11:40:54 AM]  Mua Bột cường hóa -20 ruby
[11:40:54 AM]  Mua Bột cường hóa -20 ruby
[11:40:54 AM]  Mua Bột cường hóa -20 ruby
[11:40:55 AM]  Mua Bột cường hóa -20 ruby
[11:40:55 AM]  Mua Bột cường hóa -20 ruby
[11:40:55 AM]  Mua Bột cường hóa -20 ruby
[11:40:55 AM]  Mua Bột cường hóa -20 ruby
[11:40:55 AM]  Mua Bột cường hóa -20 ruby
[11:40:55 AM]  Mua Bột cường hóa -20 ruby
[11:40:56 AM]  Mua Bột cường hóa -20 ruby
[11:40:56 AM]  Mua Bột cường hóa -20 ruby
[11:40:56 AM]  Mua Bột cường hóa -20 ruby
[11:40:56 AM]  Mua Bột cường hóa -20 ruby
[11:40:56 AM]  Mua Bột cường hóa -20 ruby
[11:40:56 AM]  Mua Bột cường hóa -20 ruby
[11:40:57 AM]  Mua Bột cường hóa -20 ruby
[11:40:57 AM]  Mua Bột cường hóa -20 ruby
[11:40:57 AM]  Mua Bột cường hóa -20 ruby
[11:40:57 AM]  Mua Bột cường hóa -20 ruby
[11:40:57 AM]  Mua Bột cường hóa -20 ruby
[11:40:58 AM]  Mua Bột cường hóa -20 ruby
[11:40:58 AM]  Mua Bột cường hóa -20 ruby
[11:40:58 AM]  Mua Bột cường hóa -20 ruby
[11:40:58 AM]  Mua Bột cường hóa -20 ruby
[11:40:58 AM]  Mua Bột cường hóa -20 ruby
[11:40:58 AM]  Mua Bột cường hóa -20 ruby
[11:41:03 AM]  Mua Ngôi sao may mắn -100 ruby
[11:41:03 AM]  Mua Ngôi sao may mắn -100 ruby
[11:41:04 AM]  Mua Ngôi sao may mắn -100 ruby
[11:41:04 AM]  Mua Ngôi sao may mắn -100 ruby
[11:41:04 AM]  Mua Ngôi sao may mắn -100 ruby
[11:41:04 AM]  Mua Ngôi sao may mắn -100 ruby
[11:41:04 AM]  Mua Ngôi sao may mắn -100 ruby
[11:41:06 AM]  Mua Bột vàng -40 ruby
[11:41:06 AM]  Mua Bột vàng -40 ruby
[11:41:06 AM]  Mua Bột vàng -40 ruby
[11:41:06 AM]  Mua Bột vàng -40 ruby
[11:41:06 AM]  Mua Bột vàng -40 ruby
[11:41:07 AM]  Mua Bột vàng -40 ruby
[11:41:07 AM]  Mua Bột vàng -40 ruby
[11:41:07 AM]  Mua Bột vàng -40 ruby
[11:41:07 AM]  Mua Bột vàng -40 ruby
[11:41:07 AM]  Mua Bột vàng -40 ruby
[11:41:07 AM]  Mua Bột vàng -40 ruby
[11:41:08 AM]  Mua Bột vàng -40 ruby
[11:41:08 AM]  Mua Bột vàng -40 ruby
[11:41:08 AM]  Mua Bột vàng -40 ruby
[11:41:08 AM]  Mua Bột vàng -40 ruby
[11:41:08 AM]  Mua Bột vàng -40 ruby
[11:41:09 AM]  Mua Bột vàng -40 ruby
[11:41:09 AM]  Mua Bột vàng -40 ruby
[11:41:09 AM]  Mua Bột vàng -40 ruby
[11:41:09 AM]  Mua Bột vàng -40 ruby
[11:41:09 AM]  Mua Bột vàng -40 ruby
[11:41:09 AM]  Mua Bột vàng -40 ruby
[11:41:10 AM]  Mua Bột vàng -40 ruby
[11:41:10 AM]  Mua Bột vàng -40 ruby
[11:41:10 AM]  Mua Bột vàng -40 ruby
[11:41:10 AM]  Mua Bột vàng -40 ruby
[11:41:12 AM]  Mua Mai rùa -140 ruby
[11:41:12 AM]  Mua Mai rùa -140 ruby
[11:41:12 AM]  Mua Mai rùa -140 ruby
[11:41:13 AM]  Mua Mai rùa -140 ruby
[11:41:13 AM]  Mua Mai rùa -140 ruby
[11:41:13 AM]  Mua Mai rùa -140 ruby
[11:41:13 AM]  Mua Mai rùa -140 ruby
[11:41:13 AM]  Mua Mai rùa -140 ruby
[11:41:14 AM]  Mua Mai rùa -140 ruby
[11:41:15 AM]  Mua Mai rùa -140 ruby
[11:41:15 AM]  Mua Mai rùa -140 ruby
[11:41:15 AM]  Mua Mai rùa -140 ruby
[11:41:22 AM]  Cường hóa item Xà rông nâu 2 -3000 beri
[11:41:22 AM]  Cường hóa item Xà rông nâu 2 -3000 beri
[11:41:24 AM]  Cường hóa item Xà rông nâu 2 -4000 beri
[11:41:24 AM]  Cường hóa item Xà rông nâu 2 -4000 beri
[11:41:26 AM]  Cường hóa item Xà rông nâu 2 -4000 beri
[11:41:26 AM]  Cường hóa item Xà rông nâu 2 -4000 beri
[11:41:28 AM]  Cường hóa item Xà rông nâu 2 -4000 beri
[11:41:28 AM]  Cường hóa item Xà rông nâu 2 -4000 beri
[11:41:30 AM]  Cường hóa item Xà rông nâu 2 -4000 beri
[11:41:30 AM]  Cường hóa item Xà rông nâu 2 -4000 beri
[11:41:32 AM]  Cường hóa item Xà rông nâu 2 -4000 beri
[11:41:32 AM]  Cường hóa item Xà rông nâu 2 -4000 beri
[11:41:34 AM]  Cường hóa item Xà rông nâu 2 -4000 beri
[11:41:34 AM]  Cường hóa item Xà rông nâu 2 -4000 beri
[11:41:36 AM]  Cường hóa item Xà rông nâu 2 -4000 beri
[11:41:36 AM]  Cường hóa item Xà rông nâu 2 -4000 beri
[11:41:38 AM]  Cường hóa item Xà rông nâu 2 -4000 beri
