[12:00:48 AM]  Nhặt +2200 beri
[12:01:47 AM]  Nhặt +650 beri
[12:04:09 AM]  Nhặt +3700 beri
[12:04:18 AM]  Nhặt +5500 beri
[12:06:33 AM]  Nhặt +1800 beri
[12:07:12 AM]  Mua Nữ thần -500 ruby
[12:07:31 AM]  Mua Tóc mốc lai -500 ruby
[12:18:09 AM]  Mua Vé tẩy tiềm năng -0 beri
[12:19:03 AM]  Nhặt +2806 beri
[12:19:15 AM]  Nhặt +11285 beri
[12:19:34 AM]  Nhặt +6832 beri
[12:19:58 AM]  Nhặt +8357 beri
[12:20:00 AM]  Nhặt +4087 beri
[12:20:29 AM]  Logout : [Beri] 2.000.057.073 [Ruby] 1.000.186.285
[12:20:43 AM]  Login : [Beri] 2.000.057.073 [Ruby] 1.000.186.285
[12:20:55 AM]  Nhặt +8052 beri
[12:21:31 AM]  Nhặt +1220 beri
[12:21:48 AM]  Nhặt +10675 beri
[12:22:10 AM]  Nhặt +8845 beri
[12:22:21 AM]  Nhặt +9943 beri
[12:22:43 AM]  Nhặt +11468 beri
[12:24:11 AM]  Nhặt +4209 beri
[12:24:31 AM]  Nhặt +1342 beri
[12:24:56 AM]  Nhặt +5246 beri
[12:25:56 AM]  Nhặt +4453 beri
[12:26:48 AM]  Nhặt +6344 beri
[12:28:02 AM]  Nhặt +2074 beri
[12:28:04 AM]  Nhặt +11102 beri
[12:28:12 AM]  Nhặt +3233 beri
[12:28:46 AM]  Nhặt +6405 beri
[12:29:00 AM]  Nhặt +11834 beri
[12:29:07 AM]  Nhặt +6039 beri
[12:42:17 AM]  Mua Gậy cuồng phong -1300 beri
[12:42:20 AM]  Mua Bikini -1200 beri
[12:42:22 AM]  Mua Quần jean 2 -1100 beri
[12:47:52 AM]  Logout : [Beri] 2.000.169.557 [Ruby] 1.000.185.050
[12:48:05 AM]  Login : [Beri] 2.000.169.557 [Ruby] 1.000.185.050
[12:50:47 AM]  Logout : [Beri] 2.000.169.557 [Ruby] 1.000.184.445
[12:50:54 AM]  Login : [Beri] 2.000.169.557 [Ruby] 1.000.184.445
[01:05:00 AM]  Nhặt +10780 beri
[01:05:07 AM]  Nhặt +13580 beri
[01:05:09 AM]  Nhặt +4270 beri
[01:05:18 AM]  Nhặt +13440 beri
[01:05:19 AM]  Nhặt +8190 beri
[01:06:24 AM]  Mua Gậy cuồng phong -1300 beri
[01:06:26 AM]  Mua Bikini -1200 beri
[01:06:30 AM]  Mua Quần jean 2 -1100 beri
[01:07:10 AM]  Mua Bột cường hóa -20 ruby
[01:07:10 AM]  Mua Bột cường hóa -20 ruby
[01:07:10 AM]  Mua Bột cường hóa -20 ruby
[01:07:11 AM]  Mua Bột cường hóa -20 ruby
[01:07:11 AM]  Mua Bột cường hóa -20 ruby
[01:07:11 AM]  Mua Bột cường hóa -20 ruby
[01:07:11 AM]  Mua Bột cường hóa -20 ruby
[01:07:11 AM]  Mua Bột cường hóa -20 ruby
[01:07:11 AM]  Mua Bột cường hóa -20 ruby
[01:07:11 AM]  Mua Bột cường hóa -20 ruby
[01:07:12 AM]  Mua Bột cường hóa -20 ruby
[01:07:12 AM]  Mua Bột cường hóa -20 ruby
[01:07:12 AM]  Mua Bột cường hóa -20 ruby
[01:07:12 AM]  Mua Bột cường hóa -20 ruby
[01:07:12 AM]  Mua Bột cường hóa -20 ruby
[01:07:13 AM]  Mua Bột cường hóa -20 ruby
[01:07:13 AM]  Mua Bột cường hóa -20 ruby
[01:07:13 AM]  Mua Bột cường hóa -20 ruby
[01:07:13 AM]  Mua Bột cường hóa -20 ruby
[01:07:15 AM]  Mua Bột cường hóa -20 ruby
[01:07:15 AM]  Mua Bột cường hóa -20 ruby
[01:07:15 AM]  Mua Bột cường hóa -20 ruby
[01:07:16 AM]  Mua Bột cường hóa -20 ruby
[01:07:16 AM]  Mua Bột cường hóa -20 ruby
[01:07:16 AM]  Mua Bột cường hóa -20 ruby
[01:07:16 AM]  Mua Bột cường hóa -20 ruby
[01:07:17 AM]  Mua Bột cường hóa -20 ruby
[01:07:17 AM]  Mua Bột cường hóa -20 ruby
[01:07:17 AM]  Mua Bột cường hóa -20 ruby
[01:07:17 AM]  Mua Bột cường hóa -20 ruby
[01:07:18 AM]  Mua Bột cường hóa -20 ruby
[01:07:18 AM]  Mua Bột cường hóa -20 ruby
[01:07:18 AM]  Mua Bột cường hóa -20 ruby
[01:07:18 AM]  Mua Bột cường hóa -20 ruby
[01:07:18 AM]  Mua Bột cường hóa -20 ruby
[01:07:19 AM]  Mua Bột cường hóa -20 ruby
[01:07:19 AM]  Mua Bột cường hóa -20 ruby
[01:07:19 AM]  Mua Bột cường hóa -20 ruby
[01:07:19 AM]  Mua Bột cường hóa -20 ruby
[01:07:19 AM]  Mua Bột cường hóa -20 ruby
[01:07:20 AM]  Mua Bột cường hóa -20 ruby
[01:07:20 AM]  Mua Bột cường hóa -20 ruby
[01:07:20 AM]  Mua Bột cường hóa -20 ruby
[01:07:20 AM]  Mua Bột cường hóa -20 ruby
[01:07:21 AM]  Mua Bột cường hóa -20 ruby
[01:07:21 AM]  Mua Bột cường hóa -20 ruby
[01:07:21 AM]  Mua Bột cường hóa -20 ruby
[01:07:21 AM]  Mua Bột cường hóa -20 ruby
