[08:47:41 AM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000
[08:48:06 AM]  Nhặt +161 beri
[08:48:09 AM]  Nhặt +68 beri
[08:48:56 AM]  Logout : [Beri] 2.000.000.229 [Ruby] 500.000
[08:49:03 AM]  Login : [Beri] 2.000.000.229 [Ruby] 500.000
[08:49:30 AM]  Mua 1000 vé vòng quay -15000 ruby
[08:54:27 AM]  Bán item +84 beri
[08:54:36 AM]  Bán item +88 beri
[08:54:43 AM]  Bán item +94 beri
[08:54:48 AM]  Bán item +70 beri
[08:54:53 AM]  Bán item +85 beri
[08:55:00 AM]  Bán item +92 beri
[08:55:12 AM]  Bán item +4 beri
[08:55:24 AM]  Mua Xp Chiêu thức -300 ruby
[08:55:39 AM]  Mua Quả Conache -0 beri
[08:55:40 AM]  Mua Quả Conache -0 beri
[08:55:40 AM]  Mua Quả Conache -0 beri
[08:55:40 AM]  Mua Quả Conache -0 beri
[08:55:40 AM]  Mua Quả Conache -0 beri
[08:55:40 AM]  Mua Quả Conache -0 beri
[08:55:40 AM]  Mua Quả Conache -0 beri
[08:55:40 AM]  Mua Quả Conache -0 beri
[08:55:40 AM]  Mua Quả Conache -0 beri
[08:55:41 AM]  Mua Quả Conache -0 beri
[08:55:41 AM]  Mua Quả Conache -0 beri
[08:55:41 AM]  Mua Quả Conache -0 beri
[08:55:41 AM]  Mua Quả Conache -0 beri
[08:55:41 AM]  Mua Quả Conache -0 beri
[08:55:41 AM]  Mua Quả Conache -0 beri
[08:55:41 AM]  Mua Quả Conache -0 beri
[08:55:41 AM]  Mua Quả Conache -0 beri
[08:55:42 AM]  Mua Quả Conache -0 beri
[08:55:42 AM]  Mua Quả Conache -0 beri
[08:55:42 AM]  Mua Quả Conache -0 beri
[08:55:42 AM]  Mua Quả Conache -0 beri
[08:55:42 AM]  Mua Quả Conache -0 beri
[08:55:42 AM]  Mua Quả Conache -0 beri
[08:55:42 AM]  Mua Quả Conache -0 beri
[08:55:42 AM]  Mua Quả Conache -0 beri
[08:55:43 AM]  Mua Quả Conache -0 beri
[08:55:43 AM]  Mua Quả Conache -0 beri
[08:55:43 AM]  Mua Quả Conache -0 beri
[08:55:43 AM]  Mua Quả Conache -0 beri
[08:55:43 AM]  Mua Quả Conache -0 beri
[08:55:43 AM]  Mua Quả Conache -0 beri
[08:55:43 AM]  Mua Quả Conache -0 beri
[08:55:43 AM]  Mua Quả Conache -0 beri
[08:55:44 AM]  Mua Quả Conache -0 beri
[08:55:44 AM]  Mua Quả Conache -0 beri
[08:55:44 AM]  Mua Quả Conache -0 beri
[08:55:44 AM]  Mua Quả Conache -0 beri
[08:55:44 AM]  Mua Quả Conache -0 beri
[08:55:44 AM]  Mua Quả Conache -0 beri
[08:55:44 AM]  Mua Quả Conache -0 beri
[08:55:44 AM]  Mua Quả Conache -0 beri
[08:55:45 AM]  Mua Quả Conache -0 beri
[08:55:45 AM]  Mua Quả Conache -0 beri
[08:55:45 AM]  Mua Quả Conache -0 beri
[08:55:45 AM]  Mua Quả Conache -0 beri
[08:55:45 AM]  Mua Quả Conache -0 beri
[08:55:45 AM]  Mua Quả Conache -0 beri
[08:55:45 AM]  Mua Quả Conache -0 beri
[08:55:45 AM]  Mua Quả Conache -0 beri
[08:55:46 AM]  Mua Quả Conache -0 beri
[08:55:46 AM]  Mua Quả Conache -0 beri
[08:55:46 AM]  Mua Quả Conache -0 beri
[08:55:46 AM]  Mua Quả Conache -0 beri
[08:55:46 AM]  Mua Quả Conache -0 beri
[08:55:46 AM]  Mua Quả Conache -0 beri
[08:55:46 AM]  Mua Quả Conache -0 beri
[08:55:46 AM]  Mua Quả Conache -0 beri
[08:55:47 AM]  Mua Quả Conache -0 beri
[08:55:47 AM]  Mua Quả Conache -0 beri
[08:55:47 AM]  Mua Quả Conache -0 beri
[08:55:47 AM]  Mua Quả Conache -0 beri
