[01:10:32 PM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000.000
[01:11:17 PM]  Mua Trang phục Franky -500 ruby
[01:11:24 PM]  Mua Tóc Siêu Sao -500 ruby
[01:12:10 PM]  Mua Kinh nghiệm X2 -60 ruby
[01:12:10 PM]  Mua Kinh nghiệm X2 -60 ruby
[01:12:10 PM]  Mua Kinh nghiệm X2 -60 ruby
[01:12:11 PM]  Mua Kinh nghiệm X2 -60 ruby
[01:12:11 PM]  Mua Kinh nghiệm X2 -60 ruby
[01:12:11 PM]  Mua Kinh nghiệm X2 -60 ruby
[01:12:11 PM]  Mua Kinh nghiệm X2 -60 ruby
[01:12:13 PM]  Mua Xp Chiêu thức -6000 ruby
[01:12:13 PM]  Mua Xp Chiêu thức -6000 ruby
[01:12:13 PM]  Mua Xp Chiêu thức -6000 ruby
[01:12:13 PM]  Mua Xp Chiêu thức -6000 ruby
[01:12:13 PM]  Mua Xp Chiêu thức -6000 ruby
[01:12:14 PM]  Mua Xp Chiêu thức -6000 ruby
[01:12:14 PM]  Mua Xp Chiêu thức -6000 ruby
[01:12:55 PM]  Nhặt +144 beri
[01:13:05 PM]  Nhặt +544 beri
[01:13:07 PM]  Nhặt +832 beri
[01:13:34 PM]  Mua 9999 vé vòng quay -149985 ruby
[01:35:42 PM]  Logout : [Beri] 2.000.001.520 [Ruby] 499.806.595
[01:43:02 PM]  Login : [Beri] 2.000.001.520 [Ruby] 499.806.595
[01:45:34 PM]  Mua Đá khảm vô cực S -5000000 ruby
[01:45:36 PM]  Mua Đá khảm vô cực S -5000000 ruby
[01:45:36 PM]  Mua Đá khảm vô cực S -20000000 ruby
[01:45:37 PM]  Mua Đá khảm vô cực S -20000000 ruby
[01:45:37 PM]  Mua Đá khảm vô cực S -20000000 ruby
[01:45:37 PM]  Mua Đá khảm vô cực S -20000000 ruby
[01:45:37 PM]  Mua Đá khảm vô cực S -20000000 ruby
[01:45:37 PM]  Mua Đá khảm vô cực S -20000000 ruby
[01:45:37 PM]  Mua Đá khảm vô cực S -20000000 ruby
[01:45:38 PM]  Mua Đá khảm vô cực S -20000000 ruby
[01:45:46 PM]  Mua Búa sơ cấp -500 ruby
[01:45:48 PM]  Mua Búa sơ cấp -10000 ruby
[01:45:48 PM]  Mua Búa sơ cấp -10000 ruby
[01:45:48 PM]  Mua Búa sơ cấp -10000 ruby
[01:45:48 PM]  Mua Búa sơ cấp -10000 ruby
[01:45:48 PM]  Mua Búa sơ cấp -10000 ruby
[01:45:48 PM]  Mua Búa sơ cấp -10000 ruby
[01:45:49 PM]  Mua Búa sơ cấp -10000 ruby
[01:45:49 PM]  Mua Búa sơ cấp -10000 ruby
[01:45:51 PM]  Mua Búa siêu cấp -10000 ruby
[01:45:51 PM]  Mua Búa siêu cấp -10000 ruby
[01:45:52 PM]  Mua Búa siêu cấp -10000 ruby
[01:45:52 PM]  Mua Búa siêu cấp -10000 ruby
[01:45:52 PM]  Mua Búa siêu cấp -10000 ruby
[01:45:52 PM]  Mua Búa siêu cấp -10000 ruby
[01:45:53 PM]  Mua Búa siêu cấp -10000 ruby
[01:45:53 PM]  Mua Búa siêu cấp -10000 ruby
