[12:00:14 AM]  Nhặt +15228 beri
[12:00:44 AM]  Nhặt +9963 beri
[12:00:47 AM]  Nhặt +4212 beri
[12:00:50 AM]  Nhặt +8586 beri
[12:00:51 AM]  Nhặt +12555 beri
[12:00:52 AM]  Nhặt +5022 beri
[12:01:05 AM]  Nhặt +8667 beri
[12:01:18 AM]  Nhặt +15147 beri
[12:01:37 AM]  Nhặt +7452 beri
[12:01:38 AM]  Nhặt +11259 beri
[12:01:42 AM]  Nhặt +14013 beri
[12:01:49 AM]  Nhặt +14337 beri
[12:01:53 AM]  Nhặt +8748 beri
[12:02:02 AM]  Nhặt +15714 beri
[12:02:06 AM]  Nhặt +1215 beri
[12:02:13 AM]  Nhặt +13608 beri
[12:02:16 AM]  Nhặt +3726 beri
[12:02:18 AM]  Nhặt +1944 beri
[12:02:39 AM]  Nhặt +7047 beri
[12:02:43 AM]  Nhặt +13365 beri
[12:02:46 AM]  Nhặt +6075 beri
[12:02:51 AM]  Nhặt +3240 beri
[12:02:53 AM]  Nhặt +3645 beri
[12:03:01 AM]  Nhặt +2430 beri
[12:03:02 AM]  Nhặt +15309 beri
[12:03:13 AM]  Nhặt +10773 beri
[12:04:09 AM]  Nhặt +15957 beri
[12:04:15 AM]  Nhặt +5670 beri
[12:04:25 AM]  Nhặt +1134 beri
[12:04:32 AM]  Nhặt +15147 beri
[12:04:45 AM]  Nhặt +9558 beri
[12:04:55 AM]  Nhặt +7452 beri
[12:05:28 AM]  Nhặt +10044 beri
[12:05:29 AM]  Nhặt +5427 beri
[12:05:33 AM]  Nhặt +2511 beri
[12:05:36 AM]  Nhặt +6723 beri
[12:05:53 AM]  Nhặt +11097 beri
[12:06:02 AM]  Nhặt +8343 beri
[12:06:04 AM]  Nhặt +12474 beri
[12:06:34 AM]  Nhặt +8586 beri
[12:06:53 AM]  Nhặt +10206 beri
[12:07:17 AM]  Nhặt +12879 beri
[12:07:36 AM]  Nhặt +13284 beri
[12:07:38 AM]  Nhặt +5265 beri
[12:07:50 AM]  Nhặt +10125 beri
[12:07:52 AM]  Nhặt +7614 beri
[12:07:59 AM]  Nhặt +7857 beri
[12:08:13 AM]  Nhặt +9153 beri
[12:08:45 AM]  Nhặt +8262 beri
[12:08:53 AM]  Nhặt +8262 beri
[12:08:59 AM]  Nhặt +11583 beri
[12:09:03 AM]  Nhặt +1215 beri
[12:09:33 AM]  Nhặt +14553 beri
[12:09:35 AM]  Nhặt +14058 beri
[12:09:36 AM]  Nhặt +8811 beri
