[12:00:53 AM]  Nhặt +10430 beri
[12:01:16 AM]  Nhặt +8357 beri
[12:01:26 AM]  Nhặt +10736 beri
[12:01:56 AM]  Nhặt +5734 beri
[12:03:38 AM]  Nhặt +10065 beri
[12:05:13 AM]  Mua Râu đen -500 ruby
[12:05:59 AM]  Mua Trang phục Spiderman Iron -500 ruby
[12:06:05 AM]  Nhặt +8479 beri
[12:06:24 AM]  Nhặt +4148 beri
[12:06:54 AM]  Nhặt +854 beri
[12:07:09 AM]  Nhặt +10492 beri
[12:08:16 AM]  Nhặt +8113 beri
[12:08:57 AM]  Nhặt +11102 beri
[12:09:06 AM]  Nhặt +3233 beri
[12:09:31 AM]  Nhặt +8174 beri
[12:10:25 AM]  Nhặt +11285 beri
[12:11:26 AM]  Nhặt +2318 beri
[12:11:32 AM]  Nhặt +1586 beri
[12:11:37 AM]  Nhặt +3904 beri
[12:12:10 AM]  Nhặt +5368 beri
[12:12:14 AM]  Nhặt +1891 beri
[12:12:31 AM]  Nhặt +6283 beri
[12:12:59 AM]  Nhặt +9150 beri
[12:13:31 AM]  Cường hóa item Dial 4 -2 ruby
[12:13:34 AM]  Cường hóa item Dial 4 -2 ruby
[12:13:34 AM]  Cường hóa item Dial 4 -2 ruby
[12:13:57 AM]  Nhập giftcode Bạn nhận được:
Beri : 0
Ruby : 0
Item : Thiên thạch may mắn x10, 
[12:20:03 AM]  Logout : [Beri] 2.000.026.870 [Ruby] 1.000.335.796
[12:22:58 AM]  Login : [Beri] 2.000.026.870 [Ruby] 1.000.335.796
[12:24:48 AM]  Mua Mai rùa -140 ruby
[12:24:48 AM]  Mua Mai rùa -140 ruby
[12:24:48 AM]  Mua Mai rùa -140 ruby
[12:24:49 AM]  Mua Mai rùa -140 ruby
[12:24:49 AM]  Mua Mai rùa -140 ruby
[12:24:49 AM]  Mua Mai rùa -140 ruby
[12:24:49 AM]  Mua Mai rùa -140 ruby
[12:24:49 AM]  Mua Mai rùa -140 ruby
[12:24:50 AM]  Mua Mai rùa -140 ruby
[12:24:50 AM]  Mua Mai rùa -140 ruby
[12:24:50 AM]  Mua Mai rùa -140 ruby
[12:24:51 AM]  Mua Mai rùa -140 ruby
[12:24:51 AM]  Mua Mai rùa -140 ruby
[12:24:51 AM]  Mua Mai rùa -140 ruby
