[07:41:21 AM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000
[07:41:49 AM]  Mua Xp Chiêu thức -6000 ruby
[07:41:50 AM]  Mua Kinh nghiệm X2 -60 ruby
[07:41:54 AM]  Mua Súp baratie -1600 beri
[07:41:54 AM]  Mua Súp baratie -1600 beri
[07:41:54 AM]  Mua Súp baratie -1600 beri
[07:41:54 AM]  Mua Súp baratie -1600 beri
[07:41:55 AM]  Mua Súp baratie -1600 beri
[07:41:55 AM]  Mua Súp baratie -1600 beri
[07:41:55 AM]  Mua Súp baratie -1600 beri
[07:41:55 AM]  Mua Súp baratie -1600 beri
[07:41:55 AM]  Mua Súp baratie -1600 beri
[07:41:56 AM]  Mua Súp baratie -1600 beri
[07:41:56 AM]  Mua Súp baratie -1600 beri
[07:41:56 AM]  Mua Súp baratie -1600 beri
[07:41:56 AM]  Mua Súp baratie -1600 beri
[07:41:56 AM]  Mua Súp baratie -1600 beri
[07:41:57 AM]  Mua Súp baratie -1600 beri
[07:41:57 AM]  Mua Súp baratie -1600 beri
[07:41:57 AM]  Mua Súp baratie -1600 beri
[07:41:57 AM]  Mua Súp baratie -1600 beri
[07:41:58 AM]  Mua Súp baratie -1600 beri
[07:41:58 AM]  Mua Súp baratie -1600 beri
[07:41:58 AM]  Mua Súp baratie -1600 beri
[07:41:58 AM]  Mua Súp baratie -1600 beri
[07:41:58 AM]  Mua Súp baratie -1600 beri
[07:41:59 AM]  Mua Súp baratie -1600 beri
[07:41:59 AM]  Mua Súp baratie -1600 beri
[07:41:59 AM]  Mua Súp baratie -1600 beri
[07:41:59 AM]  Mua Súp baratie -1600 beri
[07:41:59 AM]  Mua Súp baratie -1600 beri
[07:42:00 AM]  Mua Súp baratie -1600 beri
[07:42:00 AM]  Mua Súp baratie -1600 beri
[07:42:00 AM]  Mua Súp baratie -1600 beri
[07:42:00 AM]  Mua Súp baratie -1600 beri
[07:42:01 AM]  Mua Súp baratie -1600 beri
[07:42:01 AM]  Mua Súp baratie -1600 beri
[07:42:01 AM]  Mua Súp baratie -1600 beri
[07:42:01 AM]  Mua Súp baratie -1600 beri
[07:42:01 AM]  Mua Súp baratie -1600 beri
[07:42:02 AM]  Mua Súp baratie -1600 beri
[07:42:02 AM]  Mua Súp baratie -1600 beri
[07:42:02 AM]  Mua Súp baratie -1600 beri
[07:42:03 AM]  Mua Súp baratie -1600 beri
[07:42:03 AM]  Mua Súp baratie -1600 beri
[07:42:03 AM]  Mua Súp baratie -1600 beri
[07:42:07 AM]  Mua Cola -800 beri
[07:42:07 AM]  Mua Cola -800 beri
[07:42:07 AM]  Mua Cola -800 beri
[07:42:07 AM]  Mua Cola -800 beri
[07:42:07 AM]  Mua Cola -800 beri
[07:42:07 AM]  Mua Cola -800 beri
[07:42:08 AM]  Mua Cola -800 beri
[07:42:08 AM]  Mua Cola -800 beri
[07:42:08 AM]  Mua Cola -800 beri
[07:42:08 AM]  Mua Cola -800 beri
[07:42:08 AM]  Mua Cola -800 beri
[07:42:09 AM]  Mua Cola -800 beri
[07:42:09 AM]  Mua Cola -800 beri
[07:42:09 AM]  Mua Cola -800 beri
[07:42:09 AM]  Mua Cola -800 beri
[07:42:09 AM]  Mua Cola -800 beri
[07:42:09 AM]  Mua Cola -800 beri
[07:42:10 AM]  Mua Cola -800 beri
[07:42:10 AM]  Mua Cola -800 beri
[07:42:10 AM]  Mua Cola -800 beri
[07:42:10 AM]  Mua Cola -800 beri
[07:42:11 AM]  Mua Cola -800 beri
[07:42:11 AM]  Mua Cola -800 beri
[07:42:11 AM]  Mua Cola -800 beri
[07:42:11 AM]  Mua Cola -800 beri
[07:42:11 AM]  Mua Cola -800 beri
[07:42:11 AM]  Mua Cola -800 beri
[07:42:12 AM]  Mua Cola -800 beri
[07:43:10 AM]  Logout : [Beri] 1.999.908.800 [Ruby] 493.940
[07:43:29 AM]  Login : [Beri] 1.999.908.800 [Ruby] 493.940
[07:43:45 AM]  Logout : [Beri] 1.999.908.800 [Ruby] 493.940
