[02:48:52 AM]  Login : [Beri] 2.000.000.000 [Ruby] 1.000.466.500
[02:50:20 AM]  Mua Cola -800 beri
[02:50:20 AM]  Mua Cola -800 beri
[02:50:20 AM]  Mua Cola -800 beri
[02:50:21 AM]  Mua Cola -800 beri
[02:50:21 AM]  Mua Cola -800 beri
[02:50:21 AM]  Mua Cola -800 beri
[02:50:21 AM]  Mua Cola -800 beri
[02:50:21 AM]  Mua Cola -800 beri
[02:50:21 AM]  Mua Cola -800 beri
[02:50:22 AM]  Mua Cola -800 beri
[02:50:22 AM]  Mua Cola -800 beri
[02:50:22 AM]  Mua Cola -800 beri
[02:50:25 AM]  Mua Súp baratie -1600 beri
[02:50:25 AM]  Mua Súp baratie -1600 beri
[02:50:25 AM]  Mua Súp baratie -1600 beri
[02:50:25 AM]  Mua Súp baratie -1600 beri
[02:50:25 AM]  Mua Súp baratie -1600 beri
[02:50:25 AM]  Mua Súp baratie -1600 beri
[02:50:26 AM]  Mua Súp baratie -1600 beri
[02:50:26 AM]  Mua Súp baratie -1600 beri
[02:50:26 AM]  Mua Súp baratie -1600 beri
[02:50:26 AM]  Mua Súp baratie -1600 beri
[02:58:43 AM]  Mua Xp Chiêu thức -1500 ruby
[02:58:44 AM]  Mua Xp Chiêu thức -1500 ruby
[02:58:44 AM]  Mua Xp Chiêu thức -1500 ruby
[02:58:44 AM]  Mua Xp Chiêu thức -1500 ruby
[02:58:47 AM]  Mua Kinh nghiệm X2 -15 ruby
[02:58:47 AM]  Mua Kinh nghiệm X2 -15 ruby
[03:01:03 AM]  Mua Mai rùa -140 ruby
[03:01:03 AM]  Mua Mai rùa -140 ruby
[03:01:03 AM]  Mua Mai rùa -140 ruby
[03:01:03 AM]  Mua Mai rùa -140 ruby
[03:01:03 AM]  Mua Mai rùa -140 ruby
[03:01:04 AM]  Mua Mai rùa -140 ruby
[03:01:04 AM]  Mua Mai rùa -140 ruby
[03:01:04 AM]  Mua Mai rùa -140 ruby
[03:01:06 AM]  Mua Bột vàng -40 ruby
[03:01:06 AM]  Mua Bột vàng -40 ruby
[03:01:06 AM]  Mua Bột vàng -40 ruby
