[06:24:53 AM]  Login : [Beri] 1.953.840.000 [Ruby] 879.884.205
[06:26:53 AM]  Khảm ngọc lên -> Quả Tim -100 ruby
[06:27:42 AM]  Logout : [Beri] 1.953.840.000 [Ruby] 879.883.870
[06:27:50 AM]  Login : [Beri] 1.953.840.000 [Ruby] 879.883.870
[06:28:14 AM]  Đục lỗ Quả Tim -100 ruby
[06:28:19 AM]  Đục lỗ Quả Tim -150 ruby
[06:28:22 AM]  Đục lỗ Quả Tim -150 ruby
[06:28:25 AM]  Đục lỗ Quả Tim -150 ruby
[06:28:25 AM]  Đục lỗ Quả Tim -150 ruby
[06:29:14 AM]  Mua Kinh nghiệm X2 -15 ruby
[06:29:15 AM]  Mua Kinh nghiệm X2 -15 ruby
[06:29:17 AM]  Mua Xp Chiêu thức -1500 ruby
[06:32:24 AM]  Mua Quả Conache -0 beri
[06:32:24 AM]  Mua Quả Conache -0 beri
[06:32:24 AM]  Mua Quả Conache -0 beri
[06:32:25 AM]  Mua Quả Conache -0 beri
[06:32:25 AM]  Mua Quả Conache -0 beri
[06:32:25 AM]  Mua Quả Conache -0 beri
[06:32:25 AM]  Mua Quả Conache -0 beri
[06:32:25 AM]  Mua Quả Conache -0 beri
[06:32:25 AM]  Mua Quả Conache -0 beri
[06:32:26 AM]  Mua Quả Conache -0 beri
[06:32:26 AM]  Mua Quả Conache -0 beri
[06:32:26 AM]  Mua Quả Conache -0 beri
[06:32:26 AM]  Mua Quả Conache -0 beri
[06:32:26 AM]  Mua Quả Conache -0 beri
[06:32:26 AM]  Mua Quả Conache -0 beri
[06:32:27 AM]  Mua Quả Conache -0 beri
[06:34:23 AM]  Nhặt +3230 beri
[06:34:45 AM]  Nhặt +1666 beri
[06:41:28 AM]  Đục lỗ Xẻng thép tinh luyện 2 -50 ruby
[06:41:36 AM]  Đục lỗ Xẻng thép tinh luyện 2 -100 ruby
[06:41:36 AM]  Đục lỗ Xẻng thép tinh luyện 2 -150 ruby
[06:41:36 AM]  Đục lỗ Xẻng thép tinh luyện 2 -150 ruby
[06:41:36 AM]  Đục lỗ Xẻng thép tinh luyện 2 -150 ruby
[06:41:36 AM]  Đục lỗ Xẻng thép tinh luyện 2 -150 ruby
[06:41:36 AM]  Đục lỗ Xẻng thép tinh luyện 2 -150 ruby
[06:41:36 AM]  Đục lỗ Xẻng thép tinh luyện 2 -150 ruby
[06:41:36 AM]  Đục lỗ Xẻng thép tinh luyện 2 -200 ruby
[06:41:36 AM]  Đục lỗ Xẻng thép tinh luyện 2 -200 ruby
[06:41:36 AM]  Đục lỗ Xẻng thép tinh luyện 2 -200 ruby
[06:41:36 AM]  Đục lỗ Xẻng thép tinh luyện 2 -200 ruby
[06:41:36 AM]  Đục lỗ Xẻng thép tinh luyện 2 -200 ruby
[06:41:41 AM]  Đục lỗ Xẻng thép tinh luyện 2 -200 ruby
[06:41:41 AM]  Đục lỗ Xẻng thép tinh luyện 2 -200 ruby
[06:41:41 AM]  Đục lỗ Xẻng thép tinh luyện 2 -200 ruby
[06:41:41 AM]  Đục lỗ Xẻng thép tinh luyện 2 -200 ruby
[06:41:41 AM]  Đục lỗ Xẻng thép tinh luyện 2 -200 ruby
[06:41:41 AM]  Đục lỗ Xẻng thép tinh luyện 2 -200 ruby
[06:41:41 AM]  Đục lỗ Xẻng thép tinh luyện 2 -250 ruby
[06:41:41 AM]  Đục lỗ Xẻng thép tinh luyện 2 -250 ruby
[06:41:41 AM]  Đục lỗ Xẻng thép tinh luyện 2 -250 ruby
[06:41:41 AM]  Đục lỗ Xẻng thép tinh luyện 2 -250 ruby
[06:41:41 AM]  Đục lỗ Xẻng thép tinh luyện 2 -250 ruby
[06:41:45 AM]  Đục lỗ Xẻng thép tinh luyện 2 -300 ruby
[06:41:45 AM]  Đục lỗ Xẻng thép tinh luyện 2 -300 ruby
[06:41:45 AM]  Đục lỗ Xẻng thép tinh luyện 2 -300 ruby
[06:41:45 AM]  Đục lỗ Xẻng thép tinh luyện 2 -300 ruby
[06:41:45 AM]  Đục lỗ Xẻng thép tinh luyện 2 -300 ruby
[06:41:45 AM]  Đục lỗ Xẻng thép tinh luyện 2 -300 ruby
[06:41:45 AM]  Đục lỗ Xẻng thép tinh luyện 2 -300 ruby
[06:41:45 AM]  Đục lỗ Xẻng thép tinh luyện 2 -300 ruby
[06:41:45 AM]  Đục lỗ Xẻng thép tinh luyện 2 -300 ruby
[06:41:45 AM]  Đục lỗ Xẻng thép tinh luyện 2 -300 ruby
[06:41:49 AM]  Đục lỗ Xẻng thép tinh luyện 2 -300 ruby
[06:41:49 AM]  Đục lỗ Xẻng thép tinh luyện 2 -350 ruby
[06:41:49 AM]  Đục lỗ Xẻng thép tinh luyện 2 -350 ruby
[06:41:49 AM]  Đục lỗ Xẻng thép tinh luyện 2 -350 ruby
[06:41:49 AM]  Đục lỗ Xẻng thép tinh luyện 2 -350 ruby
[06:41:49 AM]  Đục lỗ Xẻng thép tinh luyện 2 -350 ruby
[06:41:49 AM]  Đục lỗ Xẻng thép tinh luyện 2 -350 ruby
[06:41:52 AM]  Đục lỗ Xẻng thép tinh luyện 2 -350 ruby
[06:41:52 AM]  Đục lỗ Xẻng thép tinh luyện 2 -350 ruby
[06:41:52 AM]  Đục lỗ Xẻng thép tinh luyện 2 -350 ruby
[06:41:59 AM]  Đục lỗ Dây chuyền 2 Lv30 -50 ruby
[06:41:59 AM]  Đục lỗ Dây chuyền 2 Lv30 -50 ruby
[06:41:59 AM]  Đục lỗ Dây chuyền 2 Lv30 -100 ruby
[06:41:59 AM]  Đục lỗ Dây chuyền 2 Lv30 -100 ruby
[06:41:59 AM]  Đục lỗ Dây chuyền 2 Lv30 -100 ruby
[06:41:59 AM]  Đục lỗ Dây chuyền 2 Lv30 -100 ruby
[06:41:59 AM]  Đục lỗ Dây chuyền 2 Lv30 -150 ruby
[06:41:59 AM]  Đục lỗ Dây chuyền 2 Lv30 -150 ruby
[06:42:00 AM]  Đục lỗ Dây chuyền 2 Lv30 -150 ruby
[06:42:00 AM]  Đục lỗ Dây chuyền 2 Lv30 -150 ruby
[06:42:00 AM]  Đục lỗ Dây chuyền 2 Lv30 -150 ruby
[06:42:03 AM]  Đục lỗ Dây chuyền 2 Lv30 -150 ruby
[06:42:03 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:03 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:03 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:03 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:03 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:03 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:04 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:04 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:04 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:04 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:07 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:07 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:07 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:07 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:07 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:07 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:07 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:07 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:07 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:07 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:07 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:07 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:07 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:10 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:10 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:10 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:10 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:10 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:10 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:10 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:10 AM]  Đục lỗ Dây chuyền 2 Lv30 -200 ruby
[06:42:13 AM]  Đục lỗ Dây chuyền 2 Lv30 -250 ruby
[06:42:13 AM]  Đục lỗ Dây chuyền 2 Lv30 -250 ruby
[06:42:13 AM]  Đục lỗ Dây chuyền 2 Lv30 -250 ruby
[06:42:13 AM]  Đục lỗ Dây chuyền 2 Lv30 -250 ruby
[06:42:13 AM]  Đục lỗ Dây chuyền 2 Lv30 -250 ruby
[06:42:13 AM]  Đục lỗ Dây chuyền 2 Lv30 -250 ruby
[06:42:13 AM]  Đục lỗ Dây chuyền 2 Lv30 -250 ruby
[06:42:13 AM]  Đục lỗ Dây chuyền 2 Lv30 -300 ruby
[06:42:14 AM]  Đục lỗ Dây chuyền 2 Lv30 -350 ruby
[06:42:23 AM]  Đục lỗ Nhẫn 2 Lv30 2 -50 ruby
[06:42:23 AM]  Đục lỗ Nhẫn 2 Lv30 2 -50 ruby
[06:42:23 AM]  Đục lỗ Nhẫn 2 Lv30 2 -50 ruby
[06:42:23 AM]  Đục lỗ Nhẫn 2 Lv30 2 -50 ruby
[06:42:23 AM]  Đục lỗ Nhẫn 2 Lv30 2 -50 ruby
[06:42:23 AM]  Đục lỗ Nhẫn 2 Lv30 2 -50 ruby
[06:42:23 AM]  Đục lỗ Nhẫn 2 Lv30 2 -50 ruby
[06:42:23 AM]  Đục lỗ Nhẫn 2 Lv30 2 -100 ruby
[06:42:23 AM]  Đục lỗ Nhẫn 2 Lv30 2 -100 ruby
[06:42:23 AM]  Đục lỗ Nhẫn 2 Lv30 2 -100 ruby
[06:42:23 AM]  Đục lỗ Nhẫn 2 Lv30 2 -100 ruby
[06:42:23 AM]  Đục lỗ Nhẫn 2 Lv30 2 -100 ruby
[06:42:35 AM]  Đục lỗ Nhẫn 2 Lv30 2 -100 ruby
[06:42:35 AM]  Đục lỗ Nhẫn 2 Lv30 2 -100 ruby
[06:42:35 AM]  Đục lỗ Nhẫn 2 Lv30 2 -100 ruby
[06:42:35 AM]  Đục lỗ Nhẫn 2 Lv30 2 -100 ruby
[06:42:35 AM]  Đục lỗ Nhẫn 2 Lv30 2 -100 ruby
[06:42:35 AM]  Đục lỗ Nhẫn 2 Lv30 2 -100 ruby
[06:42:35 AM]  Đục lỗ Nhẫn 2 Lv30 2 -100 ruby
[06:42:35 AM]  Đục lỗ Nhẫn 2 Lv30 2 -150 ruby
[06:42:35 AM]  Đục lỗ Nhẫn 2 Lv30 2 -150 ruby
[06:42:40 AM]  Đục lỗ Nhẫn 2 Lv30 2 -150 ruby
[06:42:40 AM]  Đục lỗ Nhẫn 2 Lv30 2 -150 ruby
[06:42:40 AM]  Đục lỗ Nhẫn 2 Lv30 2 -150 ruby
[06:42:40 AM]  Đục lỗ Nhẫn 2 Lv30 2 -150 ruby
[06:42:40 AM]  Đục lỗ Nhẫn 2 Lv30 2 -150 ruby
[06:42:40 AM]  Đục lỗ Nhẫn 2 Lv30 2 -150 ruby
[06:42:40 AM]  Đục lỗ Nhẫn 2 Lv30 2 -200 ruby
[06:42:40 AM]  Đục lỗ Nhẫn 2 Lv30 2 -200 ruby
[06:42:40 AM]  Đục lỗ Nhẫn 2 Lv30 2 -200 ruby
[06:42:43 AM]  Đục lỗ Nhẫn 2 Lv30 2 -200 ruby
[06:42:43 AM]  Đục lỗ Nhẫn 2 Lv30 2 -200 ruby
[06:42:43 AM]  Đục lỗ Nhẫn 2 Lv30 2 -200 ruby
[06:42:43 AM]  Đục lỗ Nhẫn 2 Lv30 2 -200 ruby
[06:42:43 AM]  Đục lỗ Nhẫn 2 Lv30 2 -200 ruby
[06:42:43 AM]  Đục lỗ Nhẫn 2 Lv30 2 -200 ruby
[06:42:43 AM]  Đục lỗ Nhẫn 2 Lv30 2 -200 ruby
[06:44:03 AM]  Khảm ngọc lên -> Xẻng thép tinh luyện 2 -400 ruby
[06:44:09 AM]  Khảm ngọc lên -> Xẻng thép tinh luyện 2 -400 ruby
[06:44:13 AM]  Khảm ngọc lên -> Xẻng thép tinh luyện 2 -400 ruby
[06:44:17 AM]  Khảm ngọc lên -> Xẻng thép tinh luyện 2 -400 ruby
[06:44:21 AM]  Khảm ngọc lên -> Xẻng thép tinh luyện 2 -400 ruby
[06:44:25 AM]  Khảm ngọc lên -> Xẻng thép tinh luyện 2 -400 ruby
[06:44:29 AM]  Khảm ngọc lên -> Xẻng thép tinh luyện 2 -400 ruby
[06:45:35 AM]  Khảm ngọc lên -> Xẻng thép tinh luyện 2 -400 ruby
[06:45:42 AM]  Khảm ngọc lên -> Xẻng thép tinh luyện 2 -400 ruby
[06:45:47 AM]  Khảm ngọc lên -> Xẻng thép tinh luyện 2 -400 ruby
[06:45:56 AM]  Khảm ngọc lên -> Xẻng thép tinh luyện 2 -400 ruby
[06:46:02 AM]  Khảm ngọc lên -> Xẻng thép tinh luyện 2 -400 ruby
[06:46:08 AM]  Khảm ngọc lên -> Xẻng thép tinh luyện 2 -400 ruby
[06:46:12 AM]  Khảm ngọc lên -> Xẻng thép tinh luyện 2 -400 ruby
[06:46:22 AM]  Khảm ngọc lên -> Dây chuyền 2 Lv30 -400 ruby
