[02:52:33 AM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000
[02:54:20 AM]  Mua Súp baratie -1600 beri
[02:54:20 AM]  Mua Súp baratie -1600 beri
[02:54:20 AM]  Mua Súp baratie -1600 beri
[02:54:20 AM]  Mua Súp baratie -1600 beri
[02:54:20 AM]  Mua Súp baratie -1600 beri
[02:54:20 AM]  Mua Súp baratie -1600 beri
[02:54:20 AM]  Mua Súp baratie -1600 beri
[02:54:21 AM]  Mua Súp baratie -1600 beri
[02:54:21 AM]  Mua Súp baratie -1600 beri
[02:54:21 AM]  Mua Súp baratie -1600 beri
[02:54:22 AM]  Mua Súp baratie -1600 beri
[02:54:22 AM]  Mua Súp baratie -1600 beri
[02:54:22 AM]  Mua Súp baratie -1600 beri
[02:54:22 AM]  Mua Súp baratie -1600 beri
[02:54:22 AM]  Mua Súp baratie -1600 beri
[02:54:22 AM]  Mua Súp baratie -1600 beri
[02:54:23 AM]  Mua Súp baratie -1600 beri
[02:54:24 AM]  Mua Súp baratie -1600 beri
[02:54:24 AM]  Mua Súp baratie -1600 beri
[02:54:24 AM]  Mua Súp baratie -1600 beri
[02:54:25 AM]  Mua Súp baratie -1600 beri
[02:54:25 AM]  Mua Súp baratie -1600 beri
[02:54:25 AM]  Mua Súp baratie -1600 beri
[02:54:25 AM]  Mua Súp baratie -1600 beri
[02:54:25 AM]  Mua Súp baratie -1600 beri
[02:54:25 AM]  Mua Súp baratie -1600 beri
[02:54:26 AM]  Mua Súp baratie -1600 beri
[02:54:26 AM]  Mua Súp baratie -1600 beri
[02:54:26 AM]  Mua Súp baratie -1600 beri
[02:54:26 AM]  Mua Súp baratie -1600 beri
[02:54:26 AM]  Mua Súp baratie -1600 beri
[02:54:26 AM]  Mua Súp baratie -1600 beri
[02:54:27 AM]  Mua Súp baratie -1600 beri
[02:54:27 AM]  Mua Súp baratie -1600 beri
[02:54:29 AM]  Mua Kinh nghiệm X2 -60 ruby
[02:54:29 AM]  Mua Kinh nghiệm X2 -60 ruby
[02:54:29 AM]  Mua Kinh nghiệm X2 -60 ruby
[02:54:30 AM]  Mua Xp Chiêu thức -6000 ruby
[02:54:30 AM]  Mua Xp Chiêu thức -6000 ruby
[02:54:31 AM]  Mua Quả Conache -0 beri
[02:54:31 AM]  Mua Quả Conache -0 beri
[02:54:31 AM]  Mua Quả Conache -0 beri
[02:54:31 AM]  Mua Quả Conache -0 beri
[02:54:31 AM]  Mua Quả Conache -0 beri
[02:54:31 AM]  Mua Quả Conache -0 beri
[02:54:32 AM]  Mua Quả Conache -0 beri
[02:54:32 AM]  Mua Quả Conache -0 beri
[02:54:32 AM]  Mua Quả Conache -0 beri
[02:54:32 AM]  Mua Quả Conache -0 beri
[02:54:32 AM]  Mua Quả Conache -0 beri
[02:54:32 AM]  Mua Quả Conache -0 beri
[02:54:33 AM]  Mua Quả Conache -0 beri
[02:54:33 AM]  Mua Quả Conache -0 beri
[02:54:33 AM]  Mua Quả Conache -0 beri
[02:54:33 AM]  Mua Quả Conache -0 beri
[02:54:33 AM]  Mua Quả Conache -0 beri
[02:54:33 AM]  Mua Quả Conache -0 beri
[02:54:34 AM]  Mua Quả Conache -0 beri
[02:54:34 AM]  Mua Quả Conache -0 beri
[02:54:34 AM]  Mua Quả Conache -0 beri
[02:54:34 AM]  Mua Quả Conache -0 beri
[02:54:34 AM]  Mua Quả Conache -0 beri
[02:54:34 AM]  Mua Quả Conache -0 beri
[02:54:35 AM]  Mua Quả Conache -0 beri
[02:54:35 AM]  Mua Quả Conache -0 beri
[02:54:35 AM]  Mua Quả Conache -0 beri
[02:54:35 AM]  Mua Quả Conache -0 beri
[02:54:35 AM]  Mua Quả Conache -0 beri
[02:54:36 AM]  Mua Quả Conache -0 beri
[02:54:36 AM]  Mua Quả Conache -0 beri
[02:54:36 AM]  Mua Quả Conache -0 beri
[02:54:36 AM]  Mua Quả Conache -0 beri
[02:54:36 AM]  Mua Quả Conache -0 beri
[02:54:36 AM]  Mua Quả Conache -0 beri
[02:54:37 AM]  Mua Quả Conache -0 beri
[02:54:37 AM]  Mua Quả Conache -0 beri
[02:54:37 AM]  Mua Quả Conache -0 beri
[02:54:37 AM]  Mua Quả Conache -0 beri
[02:54:37 AM]  Mua Quả Conache -0 beri
[02:54:37 AM]  Mua Quả Conache -0 beri
[02:54:38 AM]  Mua Quả Conache -0 beri
[02:54:38 AM]  Mua Quả Conache -0 beri
[02:54:38 AM]  Mua Quả Conache -0 beri
[02:54:38 AM]  Mua Quả Conache -0 beri
[02:54:38 AM]  Mua Quả Conache -0 beri
[02:54:38 AM]  Mua Quả Conache -0 beri
[02:54:39 AM]  Mua Quả Conache -0 beri
[02:54:40 AM]  Mua Vé tẩy tiềm năng -0 beri
[02:55:37 AM]  Mua Trang phục Spiderman Iron -500 ruby
[02:56:44 AM]  Mua Tóc khỉ con -500 ruby
[02:56:50 AM]  Mua Pell -500 ruby
[02:57:08 AM]  Mua Trang phục Mihawk Gold -500 ruby
[02:58:30 AM]  Logout : [Beri] 1.999.945.600 [Ruby] 485.820
[03:01:23 AM]  Login : [Beri] 1.999.945.600 [Ruby] 485.820
[03:01:29 AM]  Logout : [Beri] 1.999.945.600 [Ruby] 485.820
