[12:00:01 AM]  Nhặt +10780 beri
[12:00:05 AM]  Nhặt +4480 beri
[12:00:43 AM]  Nhặt +7630 beri
[12:01:12 AM]  Nhặt +10710 beri
[12:02:02 AM]  Nhặt +4340 beri
[12:02:09 AM]  Logout : [Beri] 2.000.281.683 [Ruby] 999.605.705
[12:08:23 AM]  Login : [Beri] 2.000.281.683 [Ruby] 999.605.705
[12:09:33 AM]  Nhặt +70 beri
[12:11:40 AM]  Nhặt +9800 beri
[12:12:06 AM]  Nhặt +3150 beri
[12:26:48 AM]  Nhặt +13090 beri
[12:33:34 AM]  Nhặt +6860 beri
[12:37:21 AM]  Nhặt +9100 beri
[12:41:35 AM]  Nhặt +3920 beri
[12:41:37 AM]  Nhặt +3150 beri
[12:42:43 AM]  Nhặt +11270 beri
[12:46:03 AM]  Nhặt +6650 beri
[12:49:16 AM]  Nhặt +980 beri
[12:50:47 AM]  Nhặt +3150 beri
[12:51:19 AM]  Nhặt +5460 beri
[12:51:54 AM]  Nhặt +12180 beri
[12:52:06 AM]  Nhặt +9450 beri
[12:53:28 AM]  Nhặt +3850 beri
[12:53:30 AM]  Nhặt +9100 beri
[12:53:36 AM]  Nhặt +7980 beri
[12:53:50 AM]  Nhặt +11480 beri
[12:54:17 AM]  Logout : [Beri] 2.000.412.373 [Ruby] 999.605.705
[12:54:23 AM]  Login : [Beri] 2.000.412.373 [Ruby] 999.605.705
[12:54:44 AM]  Nhặt +770 beri
[12:54:54 AM]  Nhặt +6580 beri
[12:54:56 AM]  Nhặt +6020 beri
[01:01:34 AM]  Nhặt +9940 beri
[01:01:42 AM]  Nhặt +1680 beri
[01:02:01 AM]  Nhặt +12460 beri
[01:02:25 AM]  Nhặt +4200 beri
[01:02:28 AM]  Nhặt +6860 beri
[01:02:43 AM]  Nhặt +8960 beri
[01:02:53 AM]  Nhặt +11550 beri
[01:03:00 AM]  Nhặt +10570 beri
[01:03:02 AM]  Nhặt +1750 beri
[01:03:14 AM]  Nhặt +11270 beri
[01:03:22 AM]  Nhặt +8330 beri
[01:03:35 AM]  Nhặt +3640 beri
