[12:08:43 AM]  Login : [Beri] 2.000.000.000 [Ruby] 1.000.500.000
[12:10:05 AM]  Mua 31999 vé vòng quay -479985 ruby
[12:10:30 AM]  Logout : [Beri] 2.000.000.000 [Ruby] 1.000.020.015
[12:12:12 AM]  Login : [Beri] 2.000.000.000 [Ruby] 1.000.020.015
[01:26:36 AM]  Giao dịch bery với spiderman nhận +0 beri
[01:26:36 AM]  Giao dịch bery với spiderman nhận Găng tay sức mạnh 2
[01:26:55 AM]  Mua Bột cường hóa -20 ruby
[01:26:55 AM]  Mua Bột cường hóa -20 ruby
[01:26:55 AM]  Mua Bột cường hóa -20 ruby
[01:26:55 AM]  Mua Bột cường hóa -20 ruby
[01:26:55 AM]  Mua Bột cường hóa -20 ruby
[01:26:55 AM]  Mua Bột cường hóa -20 ruby
[01:26:55 AM]  Mua Bột cường hóa -20 ruby
[01:26:55 AM]  Mua Bột cường hóa -20 ruby
[01:26:55 AM]  Mua Bột cường hóa -20 ruby
[01:26:55 AM]  Mua Bột cường hóa -20 ruby
[01:26:55 AM]  Mua Bột cường hóa -20 ruby
[01:26:55 AM]  Mua Bột cường hóa -20 ruby
[01:26:55 AM]  Mua Bột cường hóa -20 ruby
[01:26:55 AM]  Mua Bột cường hóa -20 ruby
[01:26:55 AM]  Mua Bột cường hóa -20 ruby
[01:26:55 AM]  Mua Bột cường hóa -20 ruby
[01:26:56 AM]  Mua Bột cường hóa -20 ruby
[01:26:56 AM]  Mua Bột cường hóa -20 ruby
[01:26:56 AM]  Mua Bột cường hóa -20 ruby
[01:26:56 AM]  Mua Bột cường hóa -20 ruby
[01:26:56 AM]  Mua Bột cường hóa -20 ruby
[01:26:56 AM]  Mua Bột cường hóa -20 ruby
[01:26:56 AM]  Mua Bột cường hóa -20 ruby
[01:26:56 AM]  Mua Bột cường hóa -20 ruby
[01:26:56 AM]  Mua Bột cường hóa -20 ruby
[01:26:56 AM]  Mua Bột cường hóa -20 ruby
[01:26:56 AM]  Mua Bột cường hóa -20 ruby
[01:26:56 AM]  Mua Bột cường hóa -20 ruby
[01:26:56 AM]  Mua Bột cường hóa -20 ruby
[01:26:56 AM]  Mua Bột cường hóa -20 ruby
[01:26:56 AM]  Mua Bột cường hóa -20 ruby
[01:26:56 AM]  Mua Bột cường hóa -20 ruby
[01:26:56 AM]  Mua Bột cường hóa -20 ruby
[01:26:56 AM]  Mua Bột cường hóa -20 ruby
[01:26:56 AM]  Mua Bột cường hóa -20 ruby
[01:26:56 AM]  Mua Bột cường hóa -20 ruby
[01:26:56 AM]  Mua Bột cường hóa -20 ruby
[01:26:56 AM]  Mua Bột cường hóa -20 ruby
[01:26:56 AM]  Mua Bột cường hóa -20 ruby
[01:26:56 AM]  Mua Bột cường hóa -20 ruby
[01:26:56 AM]  Mua Bột cường hóa -20 ruby
[01:26:56 AM]  Mua Bột cường hóa -20 ruby
[01:26:56 AM]  Mua Bột cường hóa -20 ruby
[01:26:57 AM]  Mua Bột cường hóa -20 ruby
[01:26:57 AM]  Mua Bột cường hóa -20 ruby
[01:26:57 AM]  Mua Bột cường hóa -20 ruby
[01:26:57 AM]  Mua Bột cường hóa -20 ruby
[01:26:57 AM]  Mua Bột cường hóa -20 ruby
[01:26:57 AM]  Mua Bột cường hóa -20 ruby
[01:26:57 AM]  Mua Bột cường hóa -20 ruby
[01:26:57 AM]  Mua Bột cường hóa -20 ruby
[01:26:57 AM]  Mua Bột cường hóa -20 ruby
[01:26:57 AM]  Mua Bột cường hóa -20 ruby
[01:26:57 AM]  Mua Bột cường hóa -20 ruby
[01:26:57 AM]  Mua Bột cường hóa -20 ruby
[01:26:57 AM]  Mua Bột cường hóa -20 ruby
[01:26:57 AM]  Mua Bột cường hóa -20 ruby
[01:26:57 AM]  Mua Bột cường hóa -20 ruby
[01:26:57 AM]  Mua Bột cường hóa -20 ruby
[01:26:57 AM]  Mua Bột cường hóa -20 ruby
[01:26:57 AM]  Mua Bột cường hóa -20 ruby
[01:26:57 AM]  Mua Bột cường hóa -20 ruby
[01:26:57 AM]  Mua Bột cường hóa -20 ruby
[01:26:58 AM]  Mua Bột cường hóa -20 ruby
