[12:00:06 AM]  Nhặt +13860 beri
[12:00:12 AM]  Nhặt +8019 beri
[12:00:15 AM]  Nhặt +12672 beri
[12:00:16 AM]  Nhặt +5049 beri
[12:00:20 AM]  Nhặt +6039 beri
[12:00:21 AM]  Nhặt +13563 beri
[12:00:30 AM]  Nhặt +10692 beri
[12:00:35 AM]  Nhặt +9306 beri
[12:07:04 AM]  Nhặt +18018 beri
[12:08:31 AM]  Nhặt +1881 beri
[12:08:35 AM]  Nhặt +9603 beri
[12:08:44 AM]  Nhặt +19701 beri
[12:08:46 AM]  Nhặt +15444 beri
[12:09:01 AM]  Nhặt +12474 beri
[12:09:03 AM]  Nhặt +4752 beri
[12:09:18 AM]  Nhặt +1089 beri
[12:09:24 AM]  Nhặt +9999 beri
[12:10:22 AM]  Nhặt +990 beri
[12:10:52 AM]  Nhặt +11781 beri
[12:10:59 AM]  Nhặt +18414 beri
[12:11:25 AM]  Nhặt +7029 beri
[12:11:32 AM]  Nhặt +4851 beri
[12:11:55 AM]  Nhặt +13365 beri
[12:12:19 AM]  Nhặt +5247 beri
[12:12:20 AM]  Nhặt +4653 beri
[12:13:41 AM]  Nhặt +12771 beri
[12:13:50 AM]  Nhặt +15345 beri
[12:14:00 AM]  Nhặt +5544 beri
[12:14:02 AM]  Nhặt +15840 beri
[12:14:17 AM]  Nhặt +4554 beri
[12:14:22 AM]  Nhặt +594 beri
[12:14:31 AM]  Nhặt +4851 beri
[12:14:38 AM]  Nhặt +4158 beri
[12:14:43 AM]  Nhặt +4653 beri
[12:14:50 AM]  Nhặt +18909 beri
[12:14:54 AM]  Nhặt +18018 beri
[12:14:55 AM]  Nhặt +9603 beri
[12:14:58 AM]  Nhặt +2871 beri
[12:15:00 AM]  Nhặt +7227 beri
[12:15:06 AM]  Nhặt +19305 beri
[12:15:10 AM]  Nhặt +6138 beri
[12:15:12 AM]  Nhặt +6534 beri
[12:15:15 AM]  Nhặt +1584 beri
[12:15:19 AM]  Nhặt +16533 beri
[12:15:21 AM]  Nhặt +6435 beri
[12:15:28 AM]  Nhặt +14652 beri
[12:15:34 AM]  Nhặt +9108 beri
[12:15:36 AM]  Nhặt +16335 beri
[12:15:41 AM]  Nhặt +8910 beri
[12:15:43 AM]  Nhặt +16929 beri
[12:15:47 AM]  Nhặt +10395 beri
[12:15:55 AM]  Nhặt +2574 beri
[12:15:57 AM]  Nhặt +4950 beri
[12:16:01 AM]  Nhặt +5049 beri
[12:16:03 AM]  Nhặt +16335 beri
[12:16:07 AM]  Nhặt +1188 beri
[12:16:16 AM]  Nhặt +198 beri
[12:16:19 AM]  Nhặt +7425 beri
[12:16:22 AM]  Nhặt +8712 beri
[12:16:32 AM]  Nhặt +3465 beri
[12:16:34 AM]  Nhặt +6138 beri
[12:16:37 AM]  Nhặt +9603 beri
[12:16:44 AM]  Nhặt +5247 beri
[12:16:48 AM]  Nhặt +11484 beri
[12:16:59 AM]  Nhặt +17127 beri
[12:17:02 AM]  Nhặt +1485 beri
[12:17:06 AM]  Nhặt +8712 beri
[12:17:09 AM]  Nhặt +9306 beri
[12:17:11 AM]  Nhặt +4653 beri
[12:17:28 AM]  Nhặt +15048 beri
[12:17:39 AM]  Nhặt +4950 beri
[12:17:41 AM]  Nhặt +15246 beri
[12:17:46 AM]  Nhặt +6633 beri
[12:17:49 AM]  Nhặt +19206 beri
[12:17:50 AM]  Nhặt +9504 beri
[12:17:57 AM]  Nhặt +19107 beri
[12:17:59 AM]  Nhặt +9504 beri
[12:18:00 AM]  Nhặt +5445 beri
[12:18:06 AM]  Nhặt +10395 beri
[12:18:15 AM]  Nhặt +7128 beri
[12:18:19 AM]  Nhặt +7425 beri
[12:18:23 AM]  Nhặt +6336 beri
[12:18:24 AM]  Nhặt +3267 beri
[12:18:26 AM]  Nhặt +14454 beri
