[03:55:18 PM]  Login : [Beri] 1.999.999.999 [Ruby] 1.999.999.999
[03:55:28 PM]  Nhặt +169 beri
[03:55:58 PM]  Mua Súp baratie -1600 beri
[03:55:58 PM]  Mua Súp baratie -1600 beri
[03:55:58 PM]  Mua Súp baratie -1600 beri
[03:55:58 PM]  Mua Súp baratie -1600 beri
[03:55:58 PM]  Mua Súp baratie -1600 beri
[03:55:58 PM]  Mua Súp baratie -1600 beri
[03:55:59 PM]  Mua Súp baratie -1600 beri
[03:55:59 PM]  Mua Súp baratie -1600 beri
[03:55:59 PM]  Mua Súp baratie -1600 beri
[03:55:59 PM]  Mua Súp baratie -1600 beri
[03:55:59 PM]  Mua Súp baratie -1600 beri
[03:56:01 PM]  Mua Quả Conache -0 beri
[03:56:01 PM]  Mua Quả Conache -0 beri
[03:56:01 PM]  Mua Quả Conache -0 beri
[03:56:01 PM]  Mua Quả Conache -0 beri
[03:56:01 PM]  Mua Quả Conache -0 beri
[03:56:01 PM]  Mua Quả Conache -0 beri
[03:56:02 PM]  Mua Quả Conache -0 beri
[03:56:02 PM]  Mua Quả Conache -0 beri
[03:56:02 PM]  Mua Quả Conache -0 beri
[03:56:02 PM]  Mua Quả Conache -0 beri
[03:56:02 PM]  Mua Quả Conache -0 beri
[03:56:03 PM]  Mua Quả Conache -0 beri
[03:56:03 PM]  Mua Quả Conache -0 beri
[03:56:03 PM]  Mua Quả Conache -0 beri
[03:56:04 PM]  Mua Kinh nghiệm X2 -15 ruby
[03:56:05 PM]  Mua Xp Chiêu thức -1500 ruby
[03:57:30 PM]  Mua Trang phục Doctor Strange -500 ruby
[03:57:44 PM]  Mua Tóc khỉ con -500 ruby
[03:58:11 PM]  Mua Dao tinh luyện 2 -2900 beri
[03:58:22 PM]  Mua Dao đầu bếp 2 -2600 beri
[03:58:36 PM]  Nhặt +6 beri
[03:58:36 PM]  Nhặt +138 beri
[03:59:03 PM]  Nhặt +2784 beri
[03:59:10 PM]  Nhặt +720 beri
[04:00:45 PM]  Logout : [Beri] 1.999.980.716 [Ruby] 1.999.997.484
