[09:43:54 AM]  Login : [Beri] 2.004.383.262 [Ruby] 1.999.872.373
[09:44:20 AM]  Cường hóa item Vũ khí xạ thủ 10x -3000 beri
[09:44:22 AM]  Cường hóa item Vũ khí xạ thủ 10x -3000 beri
[09:44:24 AM]  Cường hóa item Vũ khí xạ thủ 10x -4000 beri
[09:44:26 AM]  Cường hóa item Vũ khí xạ thủ 10x -4000 beri
[09:44:28 AM]  Cường hóa item Vũ khí xạ thủ 10x -4000 beri
[09:44:30 AM]  Cường hóa item Vũ khí xạ thủ 10x -6000 beri
[09:44:33 AM]  Cường hóa item Vũ khí xạ thủ 10x -6000 beri
[09:44:35 AM]  Cường hóa item Vũ khí xạ thủ 10x -6000 beri
[09:44:37 AM]  Cường hóa item Vũ khí xạ thủ 10x -8000 beri
[09:44:40 AM]  Cường hóa item Vũ khí xạ thủ 10x -10000 beri
[09:44:45 AM]  Cường hóa item Áo xạ thủ 10x -3000 beri
[09:44:47 AM]  Cường hóa item Áo xạ thủ 10x -3000 beri
[09:44:50 AM]  Cường hóa item Áo xạ thủ 10x -4000 beri
[09:44:52 AM]  Cường hóa item Áo xạ thủ 10x -4000 beri
[09:44:55 AM]  Cường hóa item Áo xạ thủ 10x -4000 beri
[09:44:57 AM]  Cường hóa item Áo xạ thủ 10x -6000 beri
[09:45:00 AM]  Cường hóa item Áo xạ thủ 10x -6000 beri
[09:45:02 AM]  Cường hóa item Áo xạ thủ 10x -6000 beri
[09:45:04 AM]  Cường hóa item Áo xạ thủ 10x -8000 beri
[09:45:06 AM]  Cường hóa item Áo xạ thủ 10x -10000 beri
[09:45:12 AM]  Cường hóa item Quần xạ thủ 10x -3000 beri
[09:45:14 AM]  Cường hóa item Quần xạ thủ 10x -3000 beri
[09:45:16 AM]  Cường hóa item Quần xạ thủ 10x -4000 beri
[09:45:18 AM]  Cường hóa item Quần xạ thủ 10x -4000 beri
[09:45:19 AM]  Cường hóa item Quần xạ thủ 10x -4000 beri
[09:45:21 AM]  Cường hóa item Quần xạ thủ 10x -6000 beri
[09:45:24 AM]  Cường hóa item Quần xạ thủ 10x -6000 beri
[09:45:26 AM]  Cường hóa item Quần xạ thủ 10x -6000 beri
[09:45:28 AM]  Cường hóa item Quần xạ thủ 10x -8000 beri
[09:45:30 AM]  Cường hóa item Quần xạ thủ 10x -10000 beri
[09:45:33 AM]  Mua Bột cường hóa -20 ruby
[09:45:34 AM]  Mua Bột cường hóa -20 ruby
[09:45:34 AM]  Mua Bột cường hóa -20 ruby
[09:45:34 AM]  Mua Bột cường hóa -20 ruby
[09:45:34 AM]  Mua Bột cường hóa -20 ruby
[09:45:34 AM]  Mua Bột cường hóa -20 ruby
[09:45:34 AM]  Mua Bột cường hóa -20 ruby
[09:45:34 AM]  Mua Bột cường hóa -20 ruby
[09:45:35 AM]  Mua Bột cường hóa -20 ruby
[09:45:35 AM]  Mua Bột cường hóa -20 ruby
[09:45:35 AM]  Mua Bột cường hóa -20 ruby
[09:45:35 AM]  Mua Bột cường hóa -20 ruby
[09:45:35 AM]  Mua Bột cường hóa -20 ruby
[09:45:35 AM]  Mua Bột cường hóa -20 ruby
[09:45:36 AM]  Mua Bột cường hóa -20 ruby
[09:45:36 AM]  Mua Bột cường hóa -20 ruby
[09:45:36 AM]  Mua Bột cường hóa -20 ruby
[09:45:36 AM]  Mua Bột cường hóa -20 ruby
[09:45:36 AM]  Mua Bột cường hóa -20 ruby
[09:45:36 AM]  Mua Bột cường hóa -20 ruby
[09:45:36 AM]  Mua Bột cường hóa -20 ruby
[09:45:36 AM]  Mua Bột cường hóa -20 ruby
[09:45:37 AM]  Mua Bột cường hóa -20 ruby
[09:45:37 AM]  Mua Bột cường hóa -20 ruby
[09:45:37 AM]  Mua Bột cường hóa -20 ruby
[09:45:37 AM]  Mua Bột cường hóa -20 ruby
[09:45:37 AM]  Mua Bột cường hóa -20 ruby
[09:45:37 AM]  Mua Bột cường hóa -20 ruby
[09:45:38 AM]  Mua Bột cường hóa -20 ruby
[09:45:38 AM]  Mua Bột cường hóa -20 ruby
[09:45:38 AM]  Mua Bột cường hóa -20 ruby
[09:45:38 AM]  Mua Bột cường hóa -20 ruby
[09:45:38 AM]  Mua Bột cường hóa -20 ruby
[09:45:38 AM]  Mua Bột cường hóa -20 ruby
[09:45:39 AM]  Mua Bột cường hóa -20 ruby
[09:45:39 AM]  Mua Bột cường hóa -20 ruby
[09:45:39 AM]  Mua Bột cường hóa -20 ruby
