[03:44:22 PM]  Login : [Beri] 2.000.036.957 [Ruby] 1.999.916.279
[03:45:58 PM]  Mua Bột than -10000 beri
[03:45:58 PM]  Mua Bột than -10000 beri
[03:45:59 PM]  Mua Bột than -10000 beri
[03:45:59 PM]  Mua Bột than -10000 beri
[03:45:59 PM]  Mua Bột than -10000 beri
[03:45:59 PM]  Mua Bột than -10000 beri
[03:45:59 PM]  Mua Bột than -10000 beri
[03:45:59 PM]  Mua Bột than -10000 beri
[03:45:59 PM]  Mua Bột than -10000 beri
[03:46:00 PM]  Mua Bột than -10000 beri
[03:46:00 PM]  Mua Bột than -10000 beri
[03:46:00 PM]  Mua Bột than -10000 beri
[03:46:00 PM]  Mua Bột than -10000 beri
[03:46:00 PM]  Mua Bột than -10000 beri
[03:46:00 PM]  Mua Bột than -10000 beri
[03:46:00 PM]  Mua Bột than -10000 beri
[03:46:01 PM]  Mua Bột than -10000 beri
[03:46:01 PM]  Mua Bột than -10000 beri
[03:46:01 PM]  Mua Bột than -10000 beri
[03:46:01 PM]  Mua Bột than -10000 beri
[03:46:01 PM]  Mua Bột than -10000 beri
[03:46:01 PM]  Mua Bột than -10000 beri
[03:46:01 PM]  Mua Bột than -10000 beri
[03:46:01 PM]  Mua Bột than -10000 beri
[03:46:01 PM]  Mua Bột than -10000 beri
[03:46:01 PM]  Mua Bột than -10000 beri
[03:46:02 PM]  Mua Bột than -10000 beri
[03:46:02 PM]  Mua Bột than -10000 beri
[03:46:03 PM]  Mua Bột cường hóa -20 ruby
[03:46:03 PM]  Mua Bột cường hóa -20 ruby
[03:46:03 PM]  Mua Bột cường hóa -20 ruby
[03:46:03 PM]  Mua Bột cường hóa -20 ruby
[03:46:04 PM]  Mua Bột cường hóa -20 ruby
[03:46:04 PM]  Mua Bột cường hóa -20 ruby
[03:46:04 PM]  Mua Bột cường hóa -20 ruby
[03:46:04 PM]  Mua Bột cường hóa -20 ruby
[03:46:04 PM]  Mua Bột cường hóa -20 ruby
[03:46:05 PM]  Mua Bột cường hóa -20 ruby
[03:46:05 PM]  Mua Bột cường hóa -20 ruby
[03:46:05 PM]  Mua Bột cường hóa -20 ruby
[03:46:05 PM]  Mua Bột cường hóa -20 ruby
[03:46:05 PM]  Mua Bột cường hóa -20 ruby
[03:46:06 PM]  Mua Bột cường hóa -20 ruby
[03:46:07 PM]  Mua Bột vàng -40 ruby
[03:46:07 PM]  Mua Bột vàng -40 ruby
[03:46:08 PM]  Mua Bột vàng -40 ruby
[03:46:08 PM]  Mua Bột vàng -40 ruby
[03:46:08 PM]  Mua Bột vàng -40 ruby
[03:46:08 PM]  Mua Bột vàng -40 ruby
[03:46:08 PM]  Mua Bột vàng -40 ruby
[03:46:08 PM]  Mua Bột vàng -40 ruby
[03:46:09 PM]  Mua Bột vàng -40 ruby
[03:46:15 PM]  Cường hóa item Dial 1 -3000 beri
[03:46:16 PM]  Cường hóa item Dial 1 -3000 beri
[03:46:17 PM]  Cường hóa item Dial 1 -4000 beri
[03:46:17 PM]  Cường hóa item Dial 1 -4000 beri
[03:46:18 PM]  Cường hóa item Dial 1 -4000 beri
[03:46:22 PM]  Cường hóa item Dial 1 -6000 beri
[03:46:22 PM]  Cường hóa item Dial 1 -6000 beri
[03:46:23 PM]  Cường hóa item Dial 1 -6000 beri
[03:46:23 PM]  Cường hóa item Dial 1 -8000 beri
[03:46:24 PM]  Cường hóa item Dial 1 -10000 beri
[03:46:45 PM]  Mua Bột cường hóa -20 ruby
[03:46:45 PM]  Mua Bột cường hóa -20 ruby
[03:46:45 PM]  Mua Bột cường hóa -20 ruby
[03:46:45 PM]  Mua Bột cường hóa -20 ruby
[03:46:45 PM]  Mua Bột cường hóa -20 ruby
[03:46:46 PM]  Mua Bột cường hóa -20 ruby
[03:46:46 PM]  Mua Bột cường hóa -20 ruby
[03:46:46 PM]  Mua Bột cường hóa -20 ruby
[03:46:46 PM]  Mua Bột cường hóa -20 ruby
[03:46:46 PM]  Mua Bột cường hóa -20 ruby
[03:46:47 PM]  Mua Bột cường hóa -20 ruby
[03:46:47 PM]  Mua Bột cường hóa -20 ruby
[03:46:47 PM]  Mua Bột cường hóa -20 ruby
