[10:23:10 AM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000.000
[10:24:04 AM]  Mua Trang phục Raid Suit Sanji -500 ruby
[10:24:15 AM]  Mua Tóc RS Sanji -500 ruby
[10:25:13 AM]  Nhặt +332 beri
[10:25:42 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:42 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:42 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:43 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:43 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:43 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:43 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:43 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:44 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:44 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:44 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:44 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:44 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:45 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:45 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:45 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:45 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:45 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:45 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:45 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:46 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:46 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:46 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:46 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:47 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:47 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:47 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:47 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:47 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:48 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:48 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:48 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:48 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:48 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:48 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:49 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:49 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:49 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:49 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:49 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:49 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:50 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:50 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:50 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:50 AM]  Mua Xp Chiêu thức -6000 ruby
[10:25:50 AM]  Mua Xp Chiêu thức -6000 ruby
