[12:56:47 AM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000.000
[12:58:25 AM]  Mua Dr. Strange Zoombie -500 ruby
[12:58:31 AM]  Mua Xp Chiêu thức -6000 ruby
[12:58:32 AM]  Mua Xp Chiêu thức -6000 ruby
[12:58:33 AM]  Mua Xp Chiêu thức -6000 ruby
[12:58:34 AM]  Mua Xp Chiêu thức -6000 ruby
[12:58:34 AM]  Mua Xp Chiêu thức -6000 ruby
[12:58:37 AM]  Mua Kinh nghiệm X2 -60 ruby
[12:58:38 AM]  Mua Kinh nghiệm X2 -60 ruby
[12:58:38 AM]  Mua Kinh nghiệm X2 -60 ruby
[12:58:40 AM]  Mua Kinh nghiệm X2 -60 ruby
[12:58:40 AM]  Mua Kinh nghiệm X2 -60 ruby
[12:58:43 AM]  Mua Vé tẩy tiềm năng -0 beri
[12:58:44 AM]  Mua Vé tẩy tiềm năng -0 beri
[12:58:44 AM]  Mua Vé tẩy tiềm năng -0 beri
[12:58:45 AM]  Mua Vé tẩy tiềm năng -0 beri
[12:58:46 AM]  Mua Vé tẩy tiềm năng -0 beri
[12:58:48 AM]  Mua Súp baratie -1600 beri
[12:58:49 AM]  Mua Súp baratie -1600 beri
[12:58:49 AM]  Mua Súp baratie -1600 beri
[12:58:49 AM]  Mua Súp baratie -1600 beri
[12:58:49 AM]  Mua Súp baratie -1600 beri
[12:58:50 AM]  Mua Súp baratie -1600 beri
[12:58:50 AM]  Mua Súp baratie -1600 beri
[12:58:50 AM]  Mua Súp baratie -1600 beri
[12:58:50 AM]  Mua Súp baratie -1600 beri
[12:58:50 AM]  Mua Súp baratie -1600 beri
[12:58:51 AM]  Mua Súp baratie -1600 beri
[12:58:51 AM]  Mua Súp baratie -1600 beri
[12:58:51 AM]  Mua Súp baratie -1600 beri
[12:58:51 AM]  Mua Súp baratie -1600 beri
[12:58:51 AM]  Mua Súp baratie -1600 beri
[12:58:52 AM]  Mua Súp baratie -1600 beri
[12:58:52 AM]  Mua Súp baratie -1600 beri
[12:58:52 AM]  Mua Súp baratie -1600 beri
[12:58:52 AM]  Mua Súp baratie -1600 beri
[12:58:52 AM]  Mua Súp baratie -1600 beri
[12:58:53 AM]  Mua Súp baratie -1600 beri
[12:58:53 AM]  Mua Súp baratie -1600 beri
[12:58:53 AM]  Mua Súp baratie -1600 beri
[12:58:53 AM]  Mua Súp baratie -1600 beri
[12:58:54 AM]  Mua Súp baratie -1600 beri
[12:58:54 AM]  Mua Súp baratie -1600 beri
[12:58:54 AM]  Mua Súp baratie -1600 beri
[12:58:54 AM]  Mua Súp baratie -1600 beri
