[09:34:30 PM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000.000
[09:36:37 PM]  Mua Kinh nghiệm X2 -15 ruby
[09:36:39 PM]  Mua Xp Chiêu thức -1500 ruby
[09:36:41 PM]  Mua Quả Conache -0 beri
[09:36:41 PM]  Mua Quả Conache -0 beri
[09:36:41 PM]  Mua Quả Conache -0 beri
[09:36:41 PM]  Mua Quả Conache -0 beri
[09:36:41 PM]  Mua Quả Conache -0 beri
[09:36:44 PM]  Mua Quả Conache -0 beri
[09:36:44 PM]  Mua Quả Conache -0 beri
[09:36:44 PM]  Mua Quả Conache -0 beri
[09:36:44 PM]  Mua Quả Conache -0 beri
[09:36:44 PM]  Mua Quả Conache -0 beri
[09:36:44 PM]  Mua Quả Conache -0 beri
[09:36:45 PM]  Mua Quả Conache -0 beri
[09:36:45 PM]  Mua Quả Conache -0 beri
[09:36:45 PM]  Mua Quả Conache -0 beri
[09:36:45 PM]  Mua Quả Conache -0 beri
[09:36:45 PM]  Mua Quả Conache -0 beri
[09:36:45 PM]  Mua Quả Conache -0 beri
[09:36:46 PM]  Mua Quả Conache -0 beri
[09:36:46 PM]  Mua Quả Conache -0 beri
[09:36:46 PM]  Mua Quả Conache -0 beri
[09:36:46 PM]  Mua Quả Conache -0 beri
[09:36:46 PM]  Mua Quả Conache -0 beri
[09:36:46 PM]  Mua Quả Conache -0 beri
[09:36:47 PM]  Mua Quả Conache -0 beri
[09:36:47 PM]  Mua Quả Conache -0 beri
[09:36:47 PM]  Mua Quả Conache -0 beri
[09:36:47 PM]  Mua Quả Conache -0 beri
[09:36:47 PM]  Mua Quả Conache -0 beri
[09:36:47 PM]  Mua Quả Conache -0 beri
[09:36:48 PM]  Mua Quả Conache -0 beri
[09:36:48 PM]  Mua Quả Conache -0 beri
[09:36:48 PM]  Mua Quả Conache -0 beri
[09:36:48 PM]  Mua Quả Conache -0 beri
[09:36:48 PM]  Mua Quả Conache -0 beri
[09:36:48 PM]  Mua Quả Conache -0 beri
[09:36:48 PM]  Mua Quả Conache -0 beri
[09:36:49 PM]  Mua Quả Conache -0 beri
[09:36:49 PM]  Mua Quả Conache -0 beri
[09:36:49 PM]  Mua Quả Conache -0 beri
[09:36:49 PM]  Mua Quả Conache -0 beri
[09:36:49 PM]  Mua Quả Conache -0 beri
[09:36:49 PM]  Mua Quả Conache -0 beri
[09:36:49 PM]  Mua Quả Conache -0 beri
[09:36:49 PM]  Mua Quả Conache -0 beri
[09:36:50 PM]  Mua Quả Conache -0 beri
[09:36:50 PM]  Mua Quả Conache -0 beri
[09:36:50 PM]  Mua Quả Conache -0 beri
[09:36:50 PM]  Mua Quả Conache -0 beri
[09:36:50 PM]  Mua Quả Conache -0 beri
[09:36:59 PM]  Mua Súp baratie -1600 beri
[09:36:59 PM]  Mua Súp baratie -1600 beri
[09:37:00 PM]  Mua Súp baratie -1600 beri
[09:37:00 PM]  Mua Súp baratie -1600 beri
[09:37:00 PM]  Mua Súp baratie -1600 beri
[09:37:00 PM]  Mua Súp baratie -1600 beri
[09:37:00 PM]  Mua Súp baratie -1600 beri
[09:37:01 PM]  Mua Súp baratie -1600 beri
[09:37:01 PM]  Mua Súp baratie -1600 beri
[09:37:01 PM]  Mua Súp baratie -1600 beri
[09:37:01 PM]  Mua Súp baratie -1600 beri
[09:37:01 PM]  Mua Súp baratie -1600 beri
[09:37:01 PM]  Mua Súp baratie -1600 beri
[09:37:02 PM]  Mua Súp baratie -1600 beri
[09:37:02 PM]  Mua Súp baratie -1600 beri
[09:37:02 PM]  Mua Súp baratie -1600 beri
[09:37:02 PM]  Mua Súp baratie -1600 beri
[09:37:02 PM]  Mua Súp baratie -1600 beri
[09:37:03 PM]  Mua Súp baratie -1600 beri
[09:37:03 PM]  Mua Súp baratie -1600 beri
