[01:17:47 AM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000.000
[01:19:03 AM]  Mua boa hancock -500 ruby
[01:19:28 AM]  Mua 600 vé vòng quay -9000 ruby
[01:23:04 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:04 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:04 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:04 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:05 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:05 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:05 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:05 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:05 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:06 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:06 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:06 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:06 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:07 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:07 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:07 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:07 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:07 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:07 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:07 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:07 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:08 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:08 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:08 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:08 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:08 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:08 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:08 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:09 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:09 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:09 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:09 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:09 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:10 AM]  Mua Búa siêu cấp -10000 ruby
[01:23:14 AM]  Mua Đá khảm vô cực S -20000000 ruby
[01:23:16 AM]  Mua Đá khảm vô cực S -20000000 ruby
[01:23:16 AM]  Mua Đá khảm vô cực S -20000000 ruby
[01:23:16 AM]  Mua Đá khảm vô cực S -20000000 ruby
[01:23:16 AM]  Mua Đá khảm vô cực S -20000000 ruby
[01:23:17 AM]  Mua Đá khảm vô cực S -20000000 ruby
[01:23:17 AM]  Mua Đá khảm vô cực S -20000000 ruby
[01:23:17 AM]  Mua Đá khảm vô cực S -20000000 ruby
[01:23:17 AM]  Mua Đá khảm vô cực S -20000000 ruby
[01:23:17 AM]  Mua Đá khảm vô cực S -20000000 ruby
[01:23:17 AM]  Mua Đá khảm vô cực S -20000000 ruby
[01:23:18 AM]  Mua Đá khảm vô cực S -20000000 ruby
[01:23:18 AM]  Mua Đá khảm vô cực S -20000000 ruby
[01:23:18 AM]  Mua Đá khảm vô cực S -20000000 ruby
[01:23:19 AM]  Mua Đá khảm vô cực S -20000000 ruby
[01:24:30 AM]  Nhặt +382 beri
[01:26:13 AM]  Mua Cola -800 beri
[01:26:15 AM]  Mua Cola -800 beri
[01:26:15 AM]  Mua Cola -800 beri
[01:26:15 AM]  Mua Cola -800 beri
[01:26:15 AM]  Mua Cola -800 beri
[01:26:15 AM]  Mua Cola -800 beri
[01:26:16 AM]  Mua Cola -800 beri
[01:26:16 AM]  Mua Cola -800 beri
[01:26:16 AM]  Mua Cola -800 beri
[01:26:16 AM]  Mua Cola -800 beri
[01:26:16 AM]  Mua Cola -800 beri
[01:26:16 AM]  Mua Cola -800 beri
