[10:49:25 AM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000.000
[10:49:52 AM]  Nhặt +30 beri
[10:49:53 AM]  Logout : [Beri] 2.000.000.030 [Ruby] 500.000.000
[10:50:00 AM]  Login : [Beri] 2.000.000.030 [Ruby] 500.000.000
[10:54:28 AM]  Logout : [Beri] 2.000.000.030 [Ruby] 500.000.000
[10:54:45 AM]  Login : [Beri] 2.000.000.030 [Ruby] 500.000.000
[10:56:13 AM]  Mua 18999 vé vòng quay -284985 ruby
[11:18:02 AM]  Nhập giftcode Bạn nhận được:
Beri : 0
Ruby : 0
Item : Đá ác quỷ x20000, 
[11:18:17 AM]  Nhập giftcode Bạn nhận được:
Beri : 0
Ruby : 0
Item : Quả Tim x1, 
[11:18:27 AM]  Nhập giftcode Bạn nhận được:
Beri : 0
Ruby : 0
Item : Dial 4 x1, 
[11:20:01 AM]  Mua Bột vàng -40 ruby
[11:20:01 AM]  Mua Bột vàng -40 ruby
[11:20:01 AM]  Mua Bột vàng -40 ruby
[11:20:01 AM]  Mua Bột vàng -40 ruby
[11:20:01 AM]  Mua Bột vàng -40 ruby
[11:20:02 AM]  Mua Bột vàng -40 ruby
[11:20:02 AM]  Mua Bột vàng -40 ruby
[11:20:02 AM]  Mua Bột vàng -40 ruby
[11:20:02 AM]  Mua Bột vàng -40 ruby
[11:20:02 AM]  Mua Bột vàng -40 ruby
[11:20:03 AM]  Mua Bột vàng -40 ruby
[11:20:03 AM]  Mua Bột vàng -40 ruby
[11:20:03 AM]  Mua Bột vàng -40 ruby
[11:20:03 AM]  Mua Bột vàng -40 ruby
[11:20:03 AM]  Mua Bột vàng -40 ruby
[11:20:04 AM]  Mua Bột vàng -40 ruby
[11:20:04 AM]  Mua Bột vàng -40 ruby
[11:20:04 AM]  Mua Bột vàng -40 ruby
[11:20:04 AM]  Mua Bột vàng -40 ruby
[11:20:04 AM]  Mua Bột vàng -40 ruby
[11:20:04 AM]  Mua Bột vàng -40 ruby
[11:20:05 AM]  Mua Bột vàng -40 ruby
[11:20:06 AM]  Mua Bột cường hóa -20 ruby
[11:20:06 AM]  Mua Bột cường hóa -20 ruby
[11:20:07 AM]  Mua Bột cường hóa -20 ruby
[11:20:07 AM]  Mua Bột cường hóa -20 ruby
[11:20:07 AM]  Mua Bột cường hóa -20 ruby
[11:20:07 AM]  Mua Bột cường hóa -20 ruby
[11:20:07 AM]  Mua Bột cường hóa -20 ruby
[11:20:08 AM]  Mua Bột cường hóa -20 ruby
[11:20:08 AM]  Mua Bột cường hóa -20 ruby
[11:20:08 AM]  Mua Bột cường hóa -20 ruby
[11:20:08 AM]  Mua Bột cường hóa -20 ruby
[11:20:09 AM]  Mua Bột cường hóa -20 ruby
[11:20:09 AM]  Mua Bột cường hóa -20 ruby
[11:20:10 AM]  Mua Bột cường hóa -20 ruby
[11:20:10 AM]  Mua Bột cường hóa -20 ruby
[11:20:10 AM]  Mua Bột cường hóa -20 ruby
[11:20:10 AM]  Mua Bột cường hóa -20 ruby
[11:20:12 AM]  Mua Bột cường hóa -20 ruby
[11:20:12 AM]  Mua Bột cường hóa -20 ruby
[11:20:13 AM]  Mua Bột cường hóa -20 ruby
[11:20:13 AM]  Mua Bột cường hóa -20 ruby
[11:20:13 AM]  Mua Bột cường hóa -20 ruby
[11:20:14 AM]  Mua Bột cường hóa -20 ruby
[11:20:14 AM]  Mua Bột cường hóa -20 ruby
[11:20:16 AM]  Mua Bột cường hóa -20 ruby
[11:20:17 AM]  Mua Bột cường hóa -20 ruby
[11:20:17 AM]  Mua Bột cường hóa -20 ruby
[11:20:17 AM]  Mua Bột cường hóa -20 ruby
[11:20:17 AM]  Mua Bột cường hóa -20 ruby
[11:20:19 AM]  Mua Bột cường hóa -20 ruby
[11:20:20 AM]  Mua Bột cường hóa -20 ruby
[11:20:20 AM]  Mua Bột cường hóa -20 ruby
[11:20:22 AM]  Mua Bột cường hóa -20 ruby
[11:20:22 AM]  Mua Bột cường hóa -20 ruby
[11:20:22 AM]  Mua Bột cường hóa -20 ruby
[11:20:23 AM]  Mua Bột cường hóa -20 ruby
[11:20:23 AM]  Mua Bột cường hóa -20 ruby
[11:20:24 AM]  Mua Bột cường hóa -20 ruby
[11:20:24 AM]  Mua Bột cường hóa -20 ruby
[11:20:24 AM]  Mua Bột cường hóa -20 ruby
