[05:48:22 AM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000.000
[05:50:08 AM]  Mua Xp Chiêu thức -300 ruby
[05:50:10 AM]  Mua Xp Chiêu thức -1500 ruby
[05:50:11 AM]  Mua Kinh nghiệm X2 -15 ruby
[05:50:12 AM]  Mua Kinh nghiệm X2 -3 ruby
[05:50:56 AM]  Mua 19998 vé vòng quay -299970 ruby
[05:54:27 AM]  Logout : [Beri] 2.000.000.000 [Ruby] 499.698.212
[05:54:35 AM]  Login : [Beri] 2.000.000.000 [Ruby] 499.698.212
[05:56:09 AM]  Logout : [Beri] 2.000.000.000 [Ruby] 499.698.212
[05:56:27 AM]  Login : [Beri] 2.000.000.000 [Ruby] 499.698.212
[05:56:58 AM]  Logout : [Beri] 2.000.000.000 [Ruby] 499.698.212
[05:57:10 AM]  Login : [Beri] 2.000.000.000 [Ruby] 499.698.212
[05:58:32 AM]  Logout : [Beri] 2.000.000.000 [Ruby] 499.698.212
[05:58:39 AM]  Login : [Beri] 2.000.000.000 [Ruby] 499.698.212
[06:02:37 AM]  Mua 31999 vé vòng quay -479985 ruby
[06:04:46 AM]  Mua Bột cường hóa -20 ruby
[06:04:46 AM]  Mua Bột cường hóa -20 ruby
[06:04:46 AM]  Mua Bột cường hóa -20 ruby
[06:04:46 AM]  Mua Bột cường hóa -20 ruby
[06:04:46 AM]  Mua Bột cường hóa -20 ruby
[06:04:46 AM]  Mua Bột cường hóa -20 ruby
[06:04:46 AM]  Mua Bột cường hóa -20 ruby
[06:04:46 AM]  Mua Bột cường hóa -20 ruby
[06:04:46 AM]  Mua Bột cường hóa -20 ruby
[06:04:47 AM]  Mua Bột cường hóa -20 ruby
[06:04:47 AM]  Mua Bột cường hóa -20 ruby
[06:04:47 AM]  Mua Bột cường hóa -20 ruby
[06:04:47 AM]  Mua Bột cường hóa -20 ruby
[06:04:47 AM]  Mua Bột cường hóa -20 ruby
[06:04:47 AM]  Mua Bột cường hóa -20 ruby
[06:04:47 AM]  Mua Bột cường hóa -20 ruby
[06:04:47 AM]  Mua Bột cường hóa -20 ruby
[06:04:47 AM]  Mua Bột cường hóa -20 ruby
[06:04:47 AM]  Mua Bột cường hóa -20 ruby
[06:04:48 AM]  Mua Bột cường hóa -20 ruby
[06:04:48 AM]  Mua Bột cường hóa -20 ruby
[06:04:48 AM]  Mua Bột cường hóa -20 ruby
[06:04:48 AM]  Mua Bột cường hóa -20 ruby
[06:04:52 AM]  Mua Bột cường hóa -20 ruby
[06:04:52 AM]  Mua Bột cường hóa -20 ruby
[06:04:52 AM]  Mua Bột cường hóa -20 ruby
[06:04:52 AM]  Mua Bột cường hóa -20 ruby
[06:04:52 AM]  Mua Bột cường hóa -20 ruby
[06:04:52 AM]  Mua Bột cường hóa -20 ruby
[06:04:52 AM]  Mua Bột cường hóa -20 ruby
[06:04:52 AM]  Mua Bột cường hóa -20 ruby
[06:04:52 AM]  Mua Bột cường hóa -20 ruby
[06:04:52 AM]  Mua Bột cường hóa -20 ruby
[06:04:53 AM]  Mua Bột cường hóa -20 ruby
[06:04:53 AM]  Mua Bột cường hóa -20 ruby
[06:04:53 AM]  Mua Bột cường hóa -20 ruby
[06:04:53 AM]  Mua Bột cường hóa -20 ruby
[06:04:53 AM]  Mua Bột cường hóa -20 ruby
[06:04:53 AM]  Mua Bột cường hóa -20 ruby
[06:04:53 AM]  Mua Bột cường hóa -20 ruby
[06:04:53 AM]  Mua Bột cường hóa -20 ruby
[06:04:53 AM]  Mua Bột cường hóa -20 ruby
[06:04:54 AM]  Mua Bột cường hóa -20 ruby
[06:04:54 AM]  Mua Bột cường hóa -20 ruby
[06:04:54 AM]  Mua Bột cường hóa -20 ruby
[06:04:54 AM]  Mua Bột cường hóa -20 ruby
[06:04:54 AM]  Mua Bột cường hóa -20 ruby
[06:04:54 AM]  Mua Bột cường hóa -20 ruby
[06:04:54 AM]  Mua Bột cường hóa -20 ruby
[06:04:54 AM]  Mua Bột cường hóa -20 ruby
[06:04:54 AM]  Mua Bột cường hóa -20 ruby
[06:04:54 AM]  Mua Bột cường hóa -20 ruby
[06:04:55 AM]  Mua Bột cường hóa -20 ruby
[06:04:55 AM]  Mua Bột cường hóa -20 ruby
[06:04:55 AM]  Mua Bột cường hóa -20 ruby
[06:04:55 AM]  Mua Bột cường hóa -20 ruby
[06:04:55 AM]  Mua Bột cường hóa -20 ruby
[06:04:55 AM]  Mua Bột cường hóa -20 ruby
[06:04:55 AM]  Mua Bột cường hóa -20 ruby
[06:04:55 AM]  Mua Bột cường hóa -20 ruby
[06:04:55 AM]  Mua Bột cường hóa -20 ruby
[06:04:56 AM]  Mua Bột cường hóa -20 ruby
[06:04:58 AM]  Mua Bột cường hóa -20 ruby
[06:04:58 AM]  Mua Bột cường hóa -20 ruby
[06:04:58 AM]  Mua Bột cường hóa -20 ruby
[06:04:58 AM]  Mua Bột cường hóa -20 ruby
[06:04:58 AM]  Mua Bột cường hóa -20 ruby
[06:04:58 AM]  Mua Bột cường hóa -20 ruby
[06:04:58 AM]  Mua Bột cường hóa -20 ruby
[06:04:58 AM]  Mua Bột cường hóa -20 ruby
[06:04:58 AM]  Mua Bột cường hóa -20 ruby
[06:04:58 AM]  Mua Bột cường hóa -20 ruby
[06:04:58 AM]  Mua Bột cường hóa -20 ruby
[06:04:59 AM]  Mua Bột cường hóa -20 ruby
[06:04:59 AM]  Mua Bột cường hóa -20 ruby
[06:04:59 AM]  Mua Bột cường hóa -20 ruby
[06:04:59 AM]  Mua Bột cường hóa -20 ruby
[06:04:59 AM]  Mua Bột cường hóa -20 ruby
[06:04:59 AM]  Mua Bột cường hóa -20 ruby
[06:04:59 AM]  Mua Bột cường hóa -20 ruby
[06:04:59 AM]  Mua Bột cường hóa -20 ruby
[06:04:59 AM]  Mua Bột cường hóa -20 ruby
[06:05:00 AM]  Mua Bột cường hóa -20 ruby
