[11:17:06 AM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000.000
[11:17:49 AM]  Mua akainu -500 ruby
[11:17:58 AM]  Mua Tóc Siêu Sao -500 ruby
[11:19:45 AM]  Mua Xp Chiêu thức -6000 ruby
[11:19:47 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:19:49 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:49 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:49 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:49 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:49 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:49 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:49 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:50 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:50 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:50 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:50 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:50 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:50 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:50 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:50 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:51 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:51 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:51 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:51 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:51 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:51 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:52 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:52 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:52 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:52 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:52 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:52 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:53 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:53 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:53 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:53 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:53 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:53 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:54 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:54 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:54 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:54 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:54 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:54 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:55 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:55 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:55 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:55 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:55 AM]  Mua Cơm hộp hải tặc -0 beri
[11:19:59 AM]  Mua Súp baratie -1600 beri
[11:20:00 AM]  Mua Súp baratie -1600 beri
[11:20:00 AM]  Mua Súp baratie -1600 beri
[11:20:00 AM]  Mua Súp baratie -1600 beri
[11:20:00 AM]  Mua Súp baratie -1600 beri
[11:20:00 AM]  Mua Súp baratie -1600 beri
[11:20:00 AM]  Mua Súp baratie -1600 beri
[11:20:01 AM]  Mua Súp baratie -1600 beri
[11:20:01 AM]  Mua Súp baratie -1600 beri
[11:20:01 AM]  Mua Súp baratie -1600 beri
[11:20:01 AM]  Mua Súp baratie -1600 beri
[11:20:01 AM]  Mua Súp baratie -1600 beri
[11:20:01 AM]  Mua Súp baratie -1600 beri
[11:20:01 AM]  Mua Súp baratie -1600 beri
[11:20:02 AM]  Mua Súp baratie -1600 beri
[11:20:02 AM]  Mua Súp baratie -1600 beri
[11:20:02 AM]  Mua Súp baratie -1600 beri
[11:20:02 AM]  Mua Súp baratie -1600 beri
[11:20:02 AM]  Mua Súp baratie -1600 beri
[11:20:02 AM]  Mua Súp baratie -1600 beri
[11:20:02 AM]  Mua Súp baratie -1600 beri
[11:20:03 AM]  Mua Súp baratie -1600 beri
[11:20:03 AM]  Mua Súp baratie -1600 beri
[11:20:03 AM]  Mua Súp baratie -1600 beri
[11:20:03 AM]  Mua Súp baratie -1600 beri
[11:20:03 AM]  Mua Súp baratie -1600 beri
[11:20:04 AM]  Mua Súp baratie -1600 beri
[11:20:04 AM]  Mua Súp baratie -1600 beri
[11:20:04 AM]  Mua Súp baratie -1600 beri
[11:20:04 AM]  Mua Súp baratie -1600 beri
[11:20:04 AM]  Mua Súp baratie -1600 beri
[11:20:05 AM]  Mua Súp baratie -1600 beri
[11:20:05 AM]  Mua Súp baratie -1600 beri
[11:20:05 AM]  Mua Súp baratie -1600 beri
[11:20:05 AM]  Mua Súp baratie -1600 beri
[11:20:05 AM]  Mua Súp baratie -1600 beri
[11:20:05 AM]  Mua Súp baratie -1600 beri
[11:20:06 AM]  Mua Súp baratie -1600 beri
[11:20:06 AM]  Mua Súp baratie -1600 beri
[11:20:06 AM]  Mua Súp baratie -1600 beri
[11:20:06 AM]  Mua Súp baratie -1600 beri
[11:20:06 AM]  Mua Súp baratie -1600 beri
[11:20:07 AM]  Mua Súp baratie -1600 beri
[11:20:07 AM]  Mua Súp baratie -1600 beri
[11:20:07 AM]  Mua Súp baratie -1600 beri
[11:20:07 AM]  Mua Súp baratie -1600 beri
[11:20:08 AM]  Mua Súp baratie -1600 beri
[11:20:08 AM]  Mua Súp baratie -1600 beri
[11:20:08 AM]  Mua Súp baratie -1600 beri
[11:20:08 AM]  Mua Súp baratie -1600 beri
[11:20:08 AM]  Mua Súp baratie -1600 beri
[11:20:08 AM]  Mua Súp baratie -1600 beri
[11:20:09 AM]  Mua Súp baratie -1600 beri
[11:20:13 AM]  Mua Quả Conache -0 beri
[11:20:13 AM]  Mua Quả Conache -0 beri
[11:20:14 AM]  Mua Quả Conache -0 beri
[11:20:14 AM]  Mua Quả Conache -0 beri
[11:20:14 AM]  Mua Quả Conache -0 beri
[11:20:14 AM]  Mua Quả Conache -0 beri
[11:20:14 AM]  Mua Quả Conache -0 beri
[11:20:14 AM]  Mua Quả Conache -0 beri
[11:20:14 AM]  Mua Quả Conache -0 beri
[11:20:15 AM]  Mua Quả Conache -0 beri
[11:20:15 AM]  Mua Quả Conache -0 beri
[11:20:15 AM]  Mua Quả Conache -0 beri
[11:20:15 AM]  Mua Quả Conache -0 beri
[11:20:15 AM]  Mua Quả Conache -0 beri
[11:20:15 AM]  Mua Quả Conache -0 beri
[11:20:15 AM]  Mua Quả Conache -0 beri
[11:20:16 AM]  Mua Quả Conache -0 beri
[11:20:16 AM]  Mua Quả Conache -0 beri
[11:20:16 AM]  Mua Quả Conache -0 beri
[11:20:16 AM]  Mua Quả Conache -0 beri
[11:20:16 AM]  Mua Quả Conache -0 beri
[11:20:16 AM]  Mua Quả Conache -0 beri
[11:20:16 AM]  Mua Quả Conache -0 beri
