[11:43:12 AM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000.000
[11:45:10 AM]  Mua Súp baratie -1600 beri
[11:45:10 AM]  Mua Súp baratie -1600 beri
[11:45:10 AM]  Mua Súp baratie -1600 beri
[11:45:10 AM]  Mua Súp baratie -1600 beri
[11:45:11 AM]  Mua Súp baratie -1600 beri
[11:45:11 AM]  Mua Súp baratie -1600 beri
[11:45:11 AM]  Mua Súp baratie -1600 beri
[11:45:11 AM]  Mua Súp baratie -1600 beri
[11:45:11 AM]  Mua Súp baratie -1600 beri
[11:45:11 AM]  Mua Súp baratie -1600 beri
[11:45:12 AM]  Mua Súp baratie -1600 beri
[11:45:12 AM]  Mua Súp baratie -1600 beri
[11:45:12 AM]  Mua Súp baratie -1600 beri
[11:45:12 AM]  Mua Súp baratie -1600 beri
[11:45:12 AM]  Mua Súp baratie -1600 beri
[11:45:12 AM]  Mua Súp baratie -1600 beri
[11:45:12 AM]  Mua Súp baratie -1600 beri
[11:45:13 AM]  Mua Súp baratie -1600 beri
[11:45:13 AM]  Mua Súp baratie -1600 beri
[11:45:13 AM]  Mua Súp baratie -1600 beri
[11:45:13 AM]  Mua Súp baratie -1600 beri
[11:45:13 AM]  Mua Súp baratie -1600 beri
[11:45:14 AM]  Mua Súp baratie -1600 beri
[11:45:14 AM]  Mua Súp baratie -1600 beri
[11:45:14 AM]  Mua Súp baratie -1600 beri
[11:45:14 AM]  Mua Súp baratie -1600 beri
[11:45:14 AM]  Mua Súp baratie -1600 beri
[11:45:14 AM]  Mua Súp baratie -1600 beri
[11:45:14 AM]  Mua Súp baratie -1600 beri
[11:45:15 AM]  Mua Súp baratie -1600 beri
[11:45:15 AM]  Mua Súp baratie -1600 beri
[11:45:15 AM]  Mua Súp baratie -1600 beri
[11:45:15 AM]  Mua Súp baratie -1600 beri
[11:45:15 AM]  Mua Súp baratie -1600 beri
[11:45:15 AM]  Mua Súp baratie -1600 beri
[11:45:16 AM]  Mua Súp baratie -1600 beri
[11:45:16 AM]  Mua Súp baratie -1600 beri
[11:45:16 AM]  Mua Súp baratie -1600 beri
[11:45:16 AM]  Mua Súp baratie -1600 beri
[11:45:16 AM]  Mua Súp baratie -1600 beri
[11:45:16 AM]  Mua Súp baratie -1600 beri
[11:45:17 AM]  Mua Súp baratie -1600 beri
[11:45:17 AM]  Mua Súp baratie -1600 beri
[11:45:17 AM]  Mua Súp baratie -1600 beri
[11:45:17 AM]  Mua Súp baratie -1600 beri
[11:45:17 AM]  Mua Súp baratie -1600 beri
[11:45:17 AM]  Mua Súp baratie -1600 beri
[11:45:18 AM]  Mua Súp baratie -1600 beri
[11:45:18 AM]  Mua Súp baratie -1600 beri
[11:45:21 AM]  Mua Súp baratie -1600 beri
[11:45:21 AM]  Mua Súp baratie -1600 beri
[11:45:21 AM]  Mua Súp baratie -1600 beri
[11:45:22 AM]  Mua Súp baratie -1600 beri
[11:45:22 AM]  Mua Súp baratie -1600 beri
[11:45:22 AM]  Mua Súp baratie -1600 beri
[11:45:22 AM]  Mua Súp baratie -1600 beri
[11:45:22 AM]  Mua Súp baratie -1600 beri
[11:45:22 AM]  Mua Súp baratie -1600 beri
[11:45:23 AM]  Mua Súp baratie -1600 beri
[11:45:23 AM]  Mua Súp baratie -1600 beri
[11:45:23 AM]  Mua Súp baratie -1600 beri
[11:45:23 AM]  Mua Súp baratie -1600 beri
[11:45:26 AM]  Mua Quả Conache -0 beri
[11:45:26 AM]  Mua Quả Conache -0 beri
[11:45:26 AM]  Mua Quả Conache -0 beri
[11:45:26 AM]  Mua Quả Conache -0 beri
[11:45:27 AM]  Mua Quả Conache -0 beri
[11:45:27 AM]  Mua Quả Conache -0 beri
[11:45:27 AM]  Mua Quả Conache -0 beri
[11:45:27 AM]  Mua Quả Conache -0 beri
[11:45:27 AM]  Mua Quả Conache -0 beri
[11:45:27 AM]  Mua Quả Conache -0 beri
[11:45:28 AM]  Mua Quả Conache -0 beri
[11:45:28 AM]  Mua Quả Conache -0 beri
[11:45:28 AM]  Mua Quả Conache -0 beri
[11:45:28 AM]  Mua Quả Conache -0 beri
[11:45:28 AM]  Mua Quả Conache -0 beri
[11:45:28 AM]  Mua Quả Conache -0 beri
[11:45:28 AM]  Mua Quả Conache -0 beri
[11:45:29 AM]  Mua Quả Conache -0 beri
[11:45:29 AM]  Mua Quả Conache -0 beri
[11:45:29 AM]  Mua Quả Conache -0 beri
[11:45:29 AM]  Mua Quả Conache -0 beri
[11:45:29 AM]  Mua Quả Conache -0 beri
[11:45:30 AM]  Mua Quả Conache -0 beri
[11:45:30 AM]  Mua Quả Conache -0 beri
[11:45:30 AM]  Mua Quả Conache -0 beri
[11:45:30 AM]  Mua Quả Conache -0 beri
[11:45:30 AM]  Mua Quả Conache -0 beri
[11:45:31 AM]  Mua Quả Conache -0 beri
[11:45:31 AM]  Mua Quả Conache -0 beri
[11:45:31 AM]  Mua Quả Conache -0 beri
[11:45:31 AM]  Mua Quả Conache -0 beri
[11:45:31 AM]  Mua Quả Conache -0 beri
[11:45:32 AM]  Mua Quả Conache -0 beri
[11:45:32 AM]  Mua Quả Conache -0 beri
[11:45:32 AM]  Mua Quả Conache -0 beri
[11:45:32 AM]  Mua Quả Conache -0 beri
[11:45:32 AM]  Mua Quả Conache -0 beri
[11:45:32 AM]  Mua Quả Conache -0 beri
[11:45:33 AM]  Mua Quả Conache -0 beri
[11:45:33 AM]  Mua Quả Conache -0 beri
[11:45:33 AM]  Mua Quả Conache -0 beri
[11:45:33 AM]  Mua Quả Conache -0 beri
[11:45:33 AM]  Mua Quả Conache -0 beri
[11:45:33 AM]  Mua Quả Conache -0 beri
[11:45:33 AM]  Mua Quả Conache -0 beri
[11:45:34 AM]  Mua Quả Conache -0 beri
[11:45:34 AM]  Mua Quả Conache -0 beri
[11:45:37 AM]  Mua Quả Conache -0 beri
[11:45:37 AM]  Mua Quả Conache -0 beri
[11:45:38 AM]  Mua Quả Conache -0 beri
[11:45:38 AM]  Mua Quả Conache -0 beri
[11:45:38 AM]  Mua Quả Conache -0 beri
[11:45:38 AM]  Mua Quả Conache -0 beri
[11:45:38 AM]  Mua Quả Conache -0 beri
[11:45:39 AM]  Mua Quả Conache -0 beri
[11:45:39 AM]  Mua Quả Conache -0 beri
[11:45:39 AM]  Mua Quả Conache -0 beri
[11:45:39 AM]  Mua Quả Conache -0 beri
[11:45:39 AM]  Mua Quả Conache -0 beri
[11:45:39 AM]  Mua Quả Conache -0 beri
[11:45:40 AM]  Mua Quả Conache -0 beri
[11:45:40 AM]  Mua Quả Conache -0 beri
[11:45:40 AM]  Mua Quả Conache -0 beri
[11:45:40 AM]  Mua Quả Conache -0 beri
[11:45:40 AM]  Mua Quả Conache -0 beri
[11:45:40 AM]  Mua Quả Conache -0 beri
[11:45:41 AM]  Mua Quả Conache -0 beri
[11:45:41 AM]  Mua Quả Conache -0 beri
[11:45:41 AM]  Mua Quả Conache -0 beri
[11:45:44 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:44 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:44 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:44 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:44 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:45 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:45 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:45 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:45 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:45 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:45 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:46 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:46 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:46 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:46 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:46 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:47 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:47 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:47 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:47 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:47 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:47 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:48 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:48 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:48 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:48 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:48 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:48 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:49 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:49 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:49 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:49 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:49 AM]  Mua Kinh nghiệm X2 -60 ruby
[11:45:51 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:51 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:51 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:51 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:51 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:52 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:52 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:52 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:52 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:52 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:52 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:53 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:53 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:53 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:53 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:53 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:53 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:54 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:54 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:54 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:54 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:55 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:55 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:55 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:55 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:56 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:56 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:56 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:56 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:56 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:56 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:56 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:57 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:57 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:57 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:57 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:57 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:58 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:58 AM]  Mua Xp Chiêu thức -6000 ruby
[11:45:58 AM]  Mua Xp Chiêu thức -6000 ruby
